domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
kroll.com,Kroll | Financial and Risk Advisory Solutions,,USA,77,183104,2026-04-25T09:32:19.994366955Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Cloudflare', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'Fireblade', 'FormSubmit', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'Netlify', 'Next.js', 'Pleroma', 'QUIC', 'Radix UI', 'Sitecore CMS', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube', 'eLand', 'shadcn ui']"
lisakayjohnsonloans.com,Lisa Johnson | Bell Bank Mortgage,,USA,65,291657,2026-04-25T09:02:20.003908304Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DoubleClick Bid Manager', 'Facebook Reseller', 'Federal Deposit Insurance Corporation', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Heroku', 'Instagram Follow Button', 'LinkedIn Pixel', 'NFOrce Internet', 'Nationwide Mortgage Licensing System and Registry', 'Netlify', 'Next.js', 'Ntent', 'Pleroma', 'Salesforce Experience Cloud', 'Segment', 'Sitecore CMS', 'Siteimprove', 'The Trade Desk Direct', 'Twitter Ads', 'UTF-8', 'YouTube', 'jsDelivr', 'shadcn ui']"
validexampdf.com,Home - Valid Exam PDF,Valid Exam PDF,,72,464065,2026-04-24T23:53:19.998890703Z,"['3 Products', 'Alternate Protocol', 'Cisco/Arrowpoint Content Service Switch', 'Citrix', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Financial Industry Regulatory Authority', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'JumpCloud', 'LiteSpeed', 'Microdata for Google Shopping', 'Oracle Cloud', 'PHP', 'Python', 'QUIC', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'Sitecore CMS', 'Sitelinks Search Box', 'Slider Revolution', 'Tawk', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooFramework', 'WordPress', 'WordPress Multisite', 'XTemos Studio', 'jQuery']"
pc12duron.com,FAQ: An introduction to PC-12 PC-12 and DURON Next Generation | Knowledge Centre | Petro-Canada Lubricants,,USA,72,209506,2026-04-24T23:44:20.017387342Z,"['AWS WAF Challenge', 'Alibaba Cloud CDN', 'Alternate Protocol', 'Better Lead Generation Services', 'Coming Soon Page', 'Comms', 'Content Delivery Network', 'Cornerstone', 'DAV', 'Dealer.com', 'Fireblade', 'Google Analytics', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'NFOrce Internet', 'Next.js', 'PHP', 'Perl', 'Pleroma', 'QUIC', 'Sitecore CMS', 'Tailwind CSS', 'UK Tax Strategy', 'UTF-8', 'Vector Internet Services', 'Vercel', 'Vultr', 'YouTube', 'Zmags', 'eLand']"
tamaracklodgeandresort.com,Tamarack Lodge | Mammoth Lakes Hotel & Cabin Lodging,,USA,77,407579,2026-04-24T18:23:20.018040085Z,"['Adobe Analytics', 'Adobe Creative Cloud WebFonts', 'Adobe Marketing Cloud', 'Cloudinary', 'Content Delivery Network', 'Font Awesome', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Material-UI', 'Microdata for Google Shopping', 'NFOrce Internet', 'Next.js', 'OneTrust Domain Verification', 'Pleroma', 'QUIC', 'SMC', 'Sitecore CMS', 'UTF-8', 'Vercel', 'YouTube', 'eLand']"
sagittarius.agency,"Digital Experience Agency | London, Manchester, Chicago and Dubai | Remarkable",Remarkable,USA,77,403577,2026-04-24T15:35:19.992671534Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'EmbedPress', 'Genesis Blocks', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'HubSpot WordPress Plugin', 'Hubspot', 'Max Mega Menu', 'Max Mega Menu Pro', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Optimizely Recommendations', 'PHP', 'QUIC', 'Salesforce Hosted', 'SiteW', 'Sitecore CMS', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'Vector Internet Services', 'WP Engine', 'WP Fastest Cache', 'WordPress', 'WordPress Multisite', 'YouTube', 'accessiBe', 'jQuery']"
hastava.com,Acrisure New York,,USA,50,142397,2026-04-24T13:05:20.007480178Z,"['AWS WAF Challenge', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'AppNexus Direct', 'AudioEye', 'Bing Cashback', 'Bing Conversion Tracking', 'Brightcove', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Content Square', 'DoubleClick Bid Manager', 'ElementUI', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Heap', 'Hubspot', 'Instagram Follow Button', 'JIRA', 'LoopMe Direct', 'Material-UI', 'Microsoft Clarity', 'Netseer Direct', 'Next.js', 'OneTrust Domain Verification', 'Pleroma', 'SMC', 'Sherpa', 'Sitecore CMS', 'Taboola Direct', 'Taboola Reseller', 'Tealium', 'Twitter Ads', 'Twitter Analytics', 'UTF-8', 'Vercel', 'Vimeo', 'Yahoo Image CDN', 'YouTube', 'jsDelivr']"
centrallifesciencestraining.com,Central Fly Control | Feed Through Fly Control | Home,,,62,152418,2026-04-24T12:44:20.02061567Z,"['AddThis', 'AddThis for Wordpress', 'Adobe Creative Cloud WebFonts', 'Bulma', 'Content Delivery Network', 'Font Awesome', 'Google Analytics', 'Google Tag Manager', 'Highlight', 'IcoMoon', 'Netlify', 'OneTrust Domain Verification', 'QUIC', 'Sitecore CMS', 'UTF-8', 'YouTube']"
boxtopsbonusapp.com,You Can Make A Difference For Schools,,,57,65480,2026-04-24T12:35:19.991574248Z,"['Alternate Protocol', 'Bazaarvoice', 'Content Delivery Network', 'ElementUI', 'Instagram Follow Button', 'Next.js', 'OneTrust Domain Verification', 'Pleroma', 'QUIC', 'Sitecore CMS', 'UTF-8', 'Vercel', 'YouTube']"
rovco.com,"Rosenxt announces strategic acquisition of Beam, Expanding Offshore and Subsea Capabilities",,GBR,65,207367,2026-04-24T09:56:51.442031936Z,"['Alternate Protocol', 'Auth0', 'Cognito Forms', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'DoubleClick Bid Manager', 'Facebook Reseller', 'Fonts.com', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Heyflow', 'Instagram Follow Button', 'Next.js', 'Ntent', 'Pleroma', 'QUIC', 'SMC', 'Sitecore CMS', 'UTF-8', 'Underscores', 'Vercel', 'YouTube']"
