domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
spacemanagementconsult.com,Space Management Consultants,,USA,60,25688,2026-04-22T18:05:20.020704942Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Smartsheet', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
resurrectionsautee.com,Church of the Resurrection,,USA,80,79268,2026-04-22T17:35:00.971152656Z,"['Adobe Creative Cloud WebFonts', 'Amazon Widgets', 'Aruba', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Pico CSS', 'QUIC', 'SiteW', 'Smartsheet', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
kidscupcloset.org,Kid's Cup,,NOR,67,23608,2026-04-22T16:21:10.244799091Z,"['Amazon CloudFront', 'Aruba', 'Baidu Cloud', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Efilli', 'GZIP Module', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Oddle', 'Onyx Internet', 'OpenResty', 'Perl', 'RM Education', 'Smartsheet', 'Square', 'UTF-8', 'eLand', 'jQuery', 'reCAPTCHA']"
homeequitycorrespondent.com,Spring EQ Correspondent Home,,USA,72,16368,2026-04-22T16:02:20.018168546Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Fastly', 'Google Analytics', 'Google Tag Manager', 'Hubspot Knowledge Base', 'IcoMoon', 'Instagram Follow Button', 'Investor Relations', 'MaxCDN', 'Nationwide Mortgage Licensing System and Registry', 'Smartsheet', 'Twitter Ads', 'UTF-8']"
olyopen.com,Olympic Peninsula Environmental News | Environmental News from the Olympic Peninsula in Washington State,,USA,77,53775,2026-04-22T13:59:19.997564163Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Automattic', 'BatCache', 'Content Delivery Network', 'Crowdsignal', 'DAV', 'EmbedPress', 'Express', 'Fastly', 'Financial Services Guide', 'Fireblade', 'FreeCSSTemplates', 'Google Forms', 'Google My Business', 'Google Related Website Sites', 'Gutenberg', 'Harbor', 'Instagram Follow Button', 'Jetpack', 'Jetpack Site Accelerator', 'Microsoft 365', 'Neighborhoods', 'Neon One', 'Nginx', 'PHP', 'Parcel', 'PayPal Adaptive Payments', 'Perl', 'RM Education', 'Share Link', 'Smartsheet', 'Squid', 'UTF-8', 'University or College', 'Vector Internet Services', 'Vimeo', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'Yahoo Finance Widget', 'YouTube', 'Zoom Video Conferencing', 'eLand', 'jQuery']"
adcomm.engineering,ADCOMM Engineering LLC,ADCOMM Engineering LLC,USA,77,78713,2026-04-22T12:11:20.000003455Z,"['AJAX Libraries API', 'Aruba', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Smartsheet', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand', 'jQuery']"
sacnas.org,STEM Education | STEM Education: STEM Workforce,,,62,43639,2026-04-21T12:57:31.904285054Z,"['AJAX Libraries API', 'Click and Pledge', 'Cloudflare', 'Content Delivery Network', 'Fastly', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Hubspot Knowledge Base', 'Instagram Follow Button', 'MemberSuite', 'Smartsheet', 'Twitter Ads', 'UTF-8', 'University or College', 'Vector Internet Services', 'YouTube', 'jQuery']"
fresnostatecsb.com,CRAIG SCHOOL NEWS,,USA,65,25126,2026-04-21T05:49:45.4696115Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'Amazon Widgets', 'Apture Linking Platform', 'Automattic', 'BatCache', 'CoBlocks', 'Content Delivery Network', 'Cornerstone', 'DAV', 'EmbedPress', 'Express', 'Fastly', 'Google My Business', 'Google Related Website Sites', 'InitiativeS', 'Investor Relations', 'Jetpack', 'Jetpack Site Accelerator', 'Microsoft 365', 'Nginx', 'Perl', 'QUIC', 'Smartsheet', 'Tailwind CSS', 'UTF-8', 'Underscores', 'University or College', 'WordPress', 'WordPress Multisite', 'WordPress Stats']"
pdcmachines.com,"Diaphragm Gas Compressors, Hydrogen Fuel Station Manufacturer PDC Machines",PDC Machines,USA,82,29484,2026-04-20T23:46:38.458703843Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'EmbedPress', 'Express', 'Genesis Blocks', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Krypt Technologies', 'Microdata for Google Shopping', 'PHP', 'Pagekit', 'QUIC', 'Smartsheet', 'Smush Image Optimization', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Underscores', 'University or College', 'Vector Internet Services', 'WP Engine', 'WPML Multilingual', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
albertaballet.com,Alberta Ballet | Home,,CAN,72,3758,2026-04-20T18:51:54.015225916Z,"['Apture Linking Platform', 'Community', 'CoreUI', 'Craft', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'Smartsheet', 'Tailwind CSS', 'UTF-8', 'YouTube']"
