domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
lux-lashes.co.uk,Lux Lashes London - Gorgeous Luxury Strip Lashes from just £1.,,GBR,72,17625,2026-04-02T16:23:19.987016214Z,"['Amazon', 'Amazon CloudFront', 'Apture Linking Platform', 'Beeketing', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Eggflow', 'Express', 'GetResponse', 'GitHub Hosting', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Instagram Follow Button', 'MailChimp', 'Microdata for Google Shopping', 'Privy', 'Rollbar', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'Smart App Banner', 'Smile IO', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Weglot', 'hCaptcha', 'reCAPTCHA']"
goodjujuink.com,Good Juju Ink,,USA,72,78595,2026-04-02T16:14:19.98182543Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Channel Intelligence', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'DoubleClick Bid Manager', 'Express', 'Fastly CDN', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Iubenda', 'MailChimp', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'POWr', 'PageFly', 'QUIC', 'SMC', 'Shopify', 'Shopify Collabs', 'Smile IO', 'TrackingMore', 'UTF-8', 'University or College', 'hCaptcha', 'jsDelivr', 'reCAPTCHA']"
writeousclothing.com,Writeous Clothing,Writeous Clothing,,67,12465,2026-04-02T15:47:19.977768458Z,"['Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Fastly', 'Google Related Website Sites', 'IcoMoon', 'Microdata for Google Shopping', 'QUIC', 'Shopify', 'Shopify Collabs', 'Smile IO', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
bembel.com,Buy Backpacks & Bags Online in Pakistan | Best Prices – Bembel,Bembel,PAK,77,17675,2026-04-02T15:44:20.020369958Z,"['Amazon', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'GetButton.io', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Omega Commerce', 'QUIC', 'Shopify', 'Shopify Collabs', 'Smile IO', 'Thank You', 'UTF-8', 'University or College', 'Vector Internet Services', 'YouTube', 'hCaptcha', 'reCAPTCHA']"
dorsihealth.com,Dorsi Health | Hemp Derived Organic Affordable CBD in Texas,,,72,10056,2026-04-02T15:38:19.995313397Z,"['Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Google Related Website Sites', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Shopify', 'Shopify Collabs', 'Smile IO', 'Storyblocks', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
ellaandroo.com,Ella and Roo,,,55,624,2026-04-02T15:17:20.008041684Z,"['17TRACK', 'Amazon CloudFront', 'Apture Linking Platform', 'AutoComplete', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Express', 'FastClick', 'Google My Business', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'Smile IO', 'Tailwind CSS', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
be-glam.be,"Special Moment Dresses, Party, Prom & Dinner Date Outfits",Be-Glam Belgium,,62,12945,2026-04-02T14:47:20.014354433Z,"['3 Products', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'MailMunch', 'Microdata for Google Shopping', 'QUIC', 'Shopify', 'Shopify Collabs', 'Smile IO', 'Twitter Ads', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
gratiapearl.com,Gratia Pearl | AKA | DST | ZPhiB | SGRho,,USA,82,38333,2026-04-02T14:32:20.015896667Z,"['AdBeacon', 'Amazon', 'Amped', 'Apture Linking Platform', 'Azure Edge', 'Cloudflare', 'Cloudflare CDN', 'DoubleClick Bid Manager', 'Fomo', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Intelligems', 'Klaviyo', 'Microdata for Google Shopping', 'QUIC', 'RM Education', 'Shopify', 'Shopify Collabs', 'Smile IO', 'Stamped', 'Tailwind CSS', 'Tidio', 'To Top', 'UTF-8', 'University or College', 'hCaptcha', 'reCAPTCHA']"
boelife.shop,BOE – boe.,,USA,72,8877,2026-04-02T14:14:20.001644921Z,"['Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'Smile IO', 'Tailwind CSS', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
unsuikyo.com,UNSUIKYO Nature eyewear brand 石木眼鏡品牌 – Unsuikyo,,,52,16011,2026-04-02T14:14:20.00140451Z,"['AJAX Libraries API', 'Alternate Protocol', 'Amazon', 'Apture Linking Platform', 'Beeketing', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Google Cloud DNS', 'Google Related Website Sites', 'Hotjar', 'IcoMoon', 'Instagram Follow Button', 'MailChimp', 'Microsoft Ajax Content Delivery Network', 'SMC', 'Shifter', 'Shopify', 'Shopify Collabs', 'Smile IO', 'Tailwind CSS', 'UTF-8', 'hCaptcha', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
needsomeretailtherapy.com,Women fashion boutique from Texas offering the hottest trends for you. – Retail Therapy by The Collective,,,72,13325,2026-04-02T14:09:27.885083757Z,"['Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Google Related Website Sites', 'Heroku', 'IcoMoon', 'Instagram Follow Button', 'Klaviyo', 'Microdata for Google Shopping', 'QUIC', 'Shopify', 'Shopify Collabs', 'Smile IO', 'UTF-8', 'hCaptcha', 'jsDelivr', 'reCAPTCHA']"
happi-planet.com,"Happi Planet | Effective Cleaning, Powered By Nature",,IND,77,15465,2026-04-02T13:53:20.016417303Z,"['Amazon', 'Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GoKwik', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Microdata for Google Shopping', 'Microsoft Clarity', 'QUIC', 'Shopify', 'Shopify Collabs', 'Smile IO', 'UTF-8', 'Unix', 'hCaptcha', 'reCAPTCHA', 'shadcn ui']"
imaginknityarnshoppe.com,ImagiKnit - Inspiration at your fingertips.,,VEN,77,27505,2026-04-02T13:53:20.002083246Z,"['Amazon WAF Blocked', 'Apture Linking Platform', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Fastly CDN', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'MailChimp', 'Microdata for Google Shopping', 'QUIC', 'Rivo Loyalty', 'Share Link', 'Shopify', 'Shopify Collabs', 'Smile IO', 'Tailwind CSS', 'UTF-8', 'University or College', 'hCaptcha', 'reCAPTCHA']"
forposhsake.com,"For Posh Sake | Personalized Clothing, Drink ware, and Home Decor. – forposhsake",forposhsake,AUS,82,10305,2026-04-02T13:50:20.008951681Z,"['Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Google My Business', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'MailChimp', 'Microdata for Google Shopping', 'QUIC', 'Shopify', 'Shopify Collabs', 'Smile IO', 'Tailwind CSS', 'Thank You', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
pitusa.co,"Women's Beachwear, Cover-ups, Dresses, Kaftans & Apparel | pītusa",pītusa,,67,73681,2026-04-02T13:47:19.988361502Z,"['Adult Content', 'Alternate Protocol', 'Amped', 'Apture Linking Platform', 'AvantMetrics', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Klaviyo', 'Microdata for Google Shopping', 'QUIC', 'Rebuy', 'Rise.ai', 'SMC', 'ShareASale', 'Shopify', 'Shopify Collabs', 'Smile IO', 'Stamped', 'Tailwind CSS', 'UTF-8', 'hCaptcha', 'jQuery', 'reCAPTCHA']"
divahustlerorders.com,Sexy & Unique Fashion Online For Women | Affordable Women's Clothing – Divahustler,,VAT,77,19548,2026-04-02T13:47:19.986958088Z,"['AJAX Libraries API', 'Afterpay', 'Amazon CloudFront', 'Apture Linking Platform', 'Aruba', 'Care Cart', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Express', 'Fastly', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'Klaviyo', 'Microdata for Google Shopping', 'NFOrce Internet', 'QUIC', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'Smile IO', 'Tailwind CSS', 'Thank You', 'UTF-8', 'eLand', 'hCaptcha', 'reCAPTCHA']"
