domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
logos-cda.org,首頁 - 樂果實協會 - 樂果實社群發展協會,,,45,342,2026-06-30T12:59:19.972611847Z,"['Apache', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'ElementUI', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fancybox for WordPress', 'Font Awesome', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'StackPath', 'Tailwind CSS', 'UTF-8', 'Ubuntu', 'YouTube', 'jQuery', 'reCAPTCHA']"
mp-luzern.ch,Mediationspraxis Luzern | Mediation für Unternehmen & Privat,,CHE,67,2539,2026-06-30T02:23:19.968978592Z,"['Apache', 'Bulma', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'StackPath', 'jQuery']"
maconracing.com,Macon Speedway,,,50,16022,2026-06-29T21:50:19.968645169Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'Financial Services Guide', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Tag Manager', 'IcoMoon', 'Microsoft Azure', 'Microsoft IIS', 'No-Q', 'SMC', 'StackPath', 'Subversion', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Visual Studio', 'jQuery']"
hudsonspeedwaynh.com,Hudson Speedway,,,45,723,2026-06-29T21:50:19.968537858Z,"['AJAX Libraries API', 'AddThis', 'AddThis for Wordpress', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Bulma', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'Financial Services Guide', 'Google Analytics', 'Google Cloud DNS', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microsoft Azure', 'Microsoft IIS', 'No-Q', 'StackPath', 'Subversion', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Visual Studio', 'Way', 'YouTube', 'jQuery']"
jonnyux.com,"Jonny UX | Design, Research & Prototyping Expertise | NZ",,NZL,72,21317,2026-06-29T21:23:19.969069785Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Content Delivery Network', 'ElementUI', 'Endis', 'Font Awesome', 'Formspree', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Hotjar', 'QUIC', 'StackPath', 'Tailwind CSS', 'Twitter Ads', 'jQuery']"
rheumnow.live,RheumNow,,,35,1814,2026-06-29T20:50:19.969773373Z,"['Amazon WAF Blocked', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Material-UI', 'Matomo', 'Matomo Tag Manager', 'Nginx', 'OneTrust Domain Verification', 'StackPath', 'Stripe', 'Twilio', 'Twitter Ads', 'UTF-8', 'WordPress', 'YouTube', 'Zendesk Embeddables']"
frontlinehealth.com,CPR Certification NYC | CPR AED Classes NYC | Frontline Health,,USA,77,5407,2026-06-29T19:41:19.972961022Z,"['Amazon', 'Apache', 'Better Lead Generation Services', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'StackPath', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'WordPress', 'Yelp Badge', 'YouTube', 'jQuery']"
indiatravelite.com,Indian Travellite,,IND,60,558,2026-06-29T17:47:19.968185996Z,"['BootstrapMade', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Nginx', 'StackPath', 'UTF-8', 'WhatsApp Sharing', 'YouTube', 'jsDelivr']"
afamilylawfirm.com,Afamilylawfirm,,USA,72,12908,2026-06-29T16:05:19.9680061Z,"['AlmaLinux', 'Apache', 'Better Lead Generation Services', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Google', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'QUIC', 'RM Education', 'StackPath', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
bestlaser.ltd,"Best Laser Technology (Jinan) Co., Ltd.",,CHN,77,8980,2026-06-29T15:44:19.971148119Z,"['51microshop', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microsoft Azure', 'Nginx', 'StackPath', 'Tailwind CSS', 'UTF-8', 'Visual Studio', 'YouTube', 'jQuery']"
