domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
bamboomyth.com,Bamboo Myth,,USA,72,170121,2026-04-05T17:05:20.00695172Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Eventbrite', 'Express', 'FreePrivacyPolicy.com', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'Salesforce Hosted', 'Squarespace', 'Sumo', 'UTF-8', 'University or College', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
justtrading.in,"Just Trading - ALL MEN ARE CREATED EQUAL, THEN SOME BECOME TRADERS!",,,60,1789,2026-04-05T16:00:42.330643005Z,"['Alternate Protocol', 'Apache', 'Automattic', 'Contact Form Plugin', 'Easy Facebook Like Box', 'EmbedPress', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Jetpack', 'Jetpack Site Accelerator', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'PHP', 'ProfilePress', 'Q2W3 Fixed Widget', 'Spacious', 'Sumo', 'Theme In WP', 'UTF-8', 'WP PageNavi', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'Zemanta', 'jQuery']"
sellchevychasehome.com,Sell Your Home – Paramount Construction,,USA,65,49219,2026-04-05T15:23:19.994153631Z,"['ASP.NET Core', 'Alternate Protocol', 'Calendly', 'Content Delivery Network', 'ConvertBox', 'Drift', 'EmbedPress', 'Font Awesome', 'FreeCSSTemplates', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Related Website Sites', 'Google Tag Manager', 'Microdata for Google Shopping', 'Monster', 'Nginx', 'OptinMonster', 'PHP', 'PixelYourSite', 'QUIC', 'RM Education', 'Sumo', 'TablePress', 'Theme In WP', 'Typeform', 'UTF-8', 'Vello', 'WP Engine', 'WordPress', 'WordPress Multisite', 'jQuery', 'myStickymenu']"
prospecttherapy.com,Couples Therapy | Anxiety | Depression | Marriage Counseling | LGBTQ+ | Long Beach | Seal Beach | 562-704-4736,Prospect Therapy,USA,77,2089,2026-04-05T14:47:20.011045452Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'Calendly', 'DAV', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'FormSubmit', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'Sumo', 'Thank You', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'Yelp Badge', 'YouTube', 'Zeffy', 'eLand']"
arcpunkcomics.com,Arcpunk Comics,,,57,26336,2026-04-05T10:27:58.91347261Z,"['Adobe Creative Cloud WebFonts', 'Amazon WAF Blocked', 'Aruba', 'ConvertKit', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'Sumo', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
vaughansolutions.com,Vaughan Solutions aka Vaughan Business Solutions,,USA,60,528,2026-04-05T09:32:20.008484804Z,"['Amazon', 'Amazon CloudFront', 'Apache', 'CloudFront', 'DAV', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'PayPal Adaptive Payments', 'PayPal Button', 'PayPal Form', 'Sumo', 'UTF-8']"
eveslaughterart.com,Eve Slaughter Artist Portfolio Acrylic Paintings and Mixed Media on Canvas | Learn More: Eve Slaughter Art,The Jennifer Balcos Gallery,USA,82,4316,2026-04-05T09:20:19.998213514Z,"['Adobe Creative Cloud WebFonts', 'Adult Content', 'Alternate Protocol', 'Aruba', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'QUIC', 'Squarespace', 'Sumo', 'Thank You', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
boudoirbyclaudiacorcoran.com,Boudoir Photography by Claudia Corcoran,,USA,77,29258,2026-04-05T07:35:20.001382153Z,"['AJAX Libraries API', 'ByteDance', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'K2F', 'Nginx', 'Sumo', 'TikTok Conversion Tracking Pixel', 'UTF-8', 'WP Engine', 'Zoho SalesIQ', 'jQuery']"
gini-life.com,【Gini】Professional Feminine Care,,,67,73712,2026-04-05T06:05:19.997682382Z,"['Alexa Certified Site Metrics', 'Alibaba Cloud CDN', 'Alternate Protocol', 'Amazon', 'Amazon WAF Blocked', 'Angular', 'Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'Criteo', 'Criteo Reseller', 'DoubleClick Bid Manager', 'Express', 'Facebook CDN', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Giphy', 'GitHub Hosting', 'GoDaddy', 'Google Analytics', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Idaq', 'Iterable', 'MailChimp', 'Microdata for Google Shopping', 'Mouseflow', 'OpenResty', 'QUIC', 'Seflow Italy', 'Sentry', 'Shopify', 'Shopline', 'Sumo', 'Swell Rewards', 'Tailwind CSS', 'UTF-8', 'Yahoo Image CDN', 'YouTube', 'iZooto']"
technifor.us,Gravotech | The only expert in all marking technologies,Gravotech,CAN,77,117123,2026-04-05T04:14:19.980789544Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Azure Edge', 'Bing Cashback', 'Bing Conversion Tracking', 'Brevo', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DoubleClick Bid Manager', 'Eloqua', 'Express', 'Fireblade', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'LinkedIn Pixel', 'M247', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Newsletter for Wordpress', 'Podium', 'QUIC', 'Sirv', 'Sumo', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'YouTube', 'jsDelivr']"
