domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
kehindeajala.cv,KEHINDE OSEIN AJALA,,NGA,77,1020,2026-04-13T08:47:20.028662654Z,"['Alternate Protocol', 'Amazon S3 CDN', 'Content Delivery Network', 'DAV', 'GitHub Hosting', 'InitiativeS', 'Microdata for Google Shopping', 'Next.js', 'Python', 'Storyblocks', 'Tableau', 'UTF-8', 'University or College', 'Vercel']"
uofttrashteam.ca,U of T Trash Team – Increasing Waste Literacy to Fight Plastic Pollution,,GBR,87,2285,2026-04-13T08:21:15.99684488Z,"['Alternate Protocol', 'Automattic', 'Brevo', 'EmbedPress', 'GoDaddy', 'Gutenberg', 'Instagram Follow Button', 'Jetpack', 'Jetpack Site Accelerator', 'Nginx', 'Perl', 'Tableau', 'The Events Calendar', 'Twitter Ads', 'UTF-8', 'University or College', 'Varia', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery']"
datasphere.tech,"Simov Labs — Simov AI & Big Data | El Salvador, Central America & Analytics Consulting",Simov Labs,BRA,77,24008,2026-04-13T06:38:19.986195941Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'GitHub Hosting', 'GoodFirms', 'Google My Business', 'Microdata for Google Shopping', 'Netlify', 'Next.js', 'Pleroma', 'Python', 'Tableau', 'Tailwind CSS', 'Tiledesk', 'UTF-8', 'Vector Internet Services', 'shadcn ui']"
crblm.ca,"Centre for Research on Brain, Language and Music - McGill University",,CAN,70,100696,2026-04-13T03:59:19.99062131Z,"['Bizo', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DoubleClick Bid Manager', 'Drupal', 'ElementUI', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft 365', 'Oribi Analytics', 'Pardot', 'Power BI', 'Qualtrics Site Intercept', 'Tableau', 'Technolutions', 'Twitter Ads', 'Twitter Analytics', 'UTF-8', 'University or College', 'YouTube']"
signaturespanail.com,"Nail salon University Oaks Blvd | Nail salon Round Rock, TX 78665",,USA,77,390892,2026-04-13T01:59:19.983050849Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Automattic', 'BLR', 'Cart.com', 'Chute', 'Community', 'Contact Form Plugin', 'Contently', 'Elementor', 'EmbedPress', 'Express', 'Facebook Embedded Posts', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'IntenseDebate', 'JetElements', 'Linktree', 'Microdata for Google Shopping', 'Nginx', 'OceanWP', 'Pagekit', 'Product Hunt', 'Proven Expert', 'QUIC', 'Salesforce Experience Cloud', 'Sitelinks Search Box', 'Smush Image Optimization', 'Tableau', 'Telegram', 'Trello', 'Tumblr', 'Twitter Ads', 'UTF-8', 'University or College', 'Wakelet', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'Yelp Badge', 'about.me']"
healthcluster.org,Health Cluster Home,,,62,131387,2026-04-12T22:25:49.826364986Z,"['Accelerated Mobile Pages', 'AddThis for Wordpress', 'Azure Edge', 'BLR', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DoubleClick Bid Manager', 'ElementUI', 'Eloqua', 'Facebook Reseller', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Recommendations AI', 'Google Related Website Sites', 'Google Tag Manager', 'Hubspot', 'Marketo', 'MaxCDN', 'Microdata for Google Shopping', 'Microsoft Ajax Content Delivery Network', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'Microsoft Azure Verified CDN', 'Microsoft Clarity', 'Monsido', 'Ntent', 'PWA', 'Plausible Analytics', 'Power BI', 'Tableau', 'Telerik CDN', 'Tumblr', 'Twitter Ads', 'Twitter CDN', 'UTF-8', 'Vimeo', 'YouTube']"
sharefile.site,"Simple, secure file sharing solution for individuals and teams.",ShareFile,VN,82,122591,2026-04-12T20:47:19.981725324Z,"['Alternate Protocol', 'Amazon Widgets', 'Automattic', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hasnode', 'Linktree', 'Microdata for Google Shopping', 'PHP', 'Product Hunt', 'Proven Expert', 'QUIC', 'Salesforce Experience Cloud', 'Tableau', 'Tailwind CSS', 'Telegram', 'Twitter Ads', 'UTF-8', 'Vine Embed', 'YouTube', 'about.me', 'jQuery', 'jsDelivr', 'shadcn ui']"
jakekimdata.com,Data Analytics Portfolio,,,55,25721,2026-04-12T19:02:20.015430161Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'Express', 'GZIP Module', 'GitHub Hosting', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'Python', 'QUIC', 'SiteW', 'Squarespace', 'Tableau', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
ebrd-restructuring.com,EBRD Assessment,,,55,833,2026-04-12T18:43:24.122653202Z,"['Cloudflare', 'Cloudflare CDN', 'ElementUI', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'InitiativeS', 'NFOrce Internet', 'Nginx', 'Plausible Analytics', 'QUIC', 'Sapper', 'Tableau', 'Twitter Ads', 'UTF-8', 'YouTube', 'jsDelivr', 'shadcn ui', 'utterances']"
zukunftspreis-ostbrandenburg.de,How Sports Impact Mental Health and Personal Development,,,55,21100,2026-04-12T18:23:20.005076001Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Atlas Pickup Points', 'Atom', 'BLR', 'Chute', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'CodeIgniter', 'Community', 'DAV', 'DailyMotion Video', 'EmbedPress', 'Federal Deposit Insurance Corporation', 'Gambling Content', 'Giphy', 'GitHub Hosting', 'Hasnode', 'Medium', 'OSS CDN', 'PHP', 'Pabbly', 'Parallels Plesk Panel', 'PrestaShop', 'QUIC', 'RM Education', 'Reevoo', 'ScanVerify', 'Tableau', 'Theme In WP', 'Tumblr', 'UTF-8', 'Universe', 'University or College', 'WP Rocket', 'Wakelet', 'Wonder', 'WordOps', 'WordPress', 'WordPress Multisite', 'YouTube', 'ZAKRA', 'ashop', 'ePages']"
