domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
theump.co.uk,Homepage - University Medical Practice,,USA,65,40923,2026-04-29T01:44:20.007502498Z,"['Amazon', 'Apture Linking Platform', 'Brightcove', 'CDN JS', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'ETranslate', 'ElementUI', 'Facebook Reseller', 'GTranslate', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Help.com', 'IcoMoon', 'Instagram Follow Button', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'My Surgery Website', 'Tailwind CSS', 'Texthelp', 'Twitter Ads', 'UTF-8', 'University or College', 'UserWay', 'Vercel', 'Vimeo', 'Vue.js', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
lymebaymedicalpractice.co.uk,Homepage - Lyme Bay Medical Practice,,,55,8349,2026-04-29T01:44:20.001159819Z,"['Amazon', 'Apture Linking Platform', 'Brightcove', 'Bulma', 'CDN JS', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'ETranslate', 'ElementUI', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Help.com', 'IcoMoon', 'Microsoft 365', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'My Surgery Website', 'Tailwind CSS', 'Texthelp', 'Twitter Ads', 'UTF-8', 'Vercel', 'Vimeo', 'Vue.js', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
drsadeydancy.nhs.uk,Homepage - Drs Adey & Dancy,,,55,8723,2026-04-28T20:43:14.219492208Z,"['Amazon', 'Apture Linking Platform', 'Brightcove', 'CDN JS', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'ETranslate', 'ElementUI', 'Facebook Reseller', 'GTranslate', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Help.com', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'My Surgery Website', 'Texthelp', 'Twitter Ads', 'UTF-8', 'UserWay', 'Vercel', 'Vimeo', 'Vue.js', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
rrmg.co.uk,Homepage - Racecourse Road Medical Group,,,55,16279,2026-04-27T11:38:19.982832505Z,"['Amazon', 'Apture Linking Platform', 'Brightcove', 'CDN JS', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'ETranslate', 'ElementUI', 'Facebook Reseller', 'Fireblade', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Help.com', 'IcoMoon', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'My Surgery Website', 'Tailwind CSS', 'Texthelp', 'Twitter Ads', 'UTF-8', 'UserWay', 'Vercel', 'Vimeo', 'Vue.js', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
northlands-surgery.co.uk,Homepage - Northlands Surgery,,,55,8879,2026-04-27T11:32:20.009557308Z,"['Amazon', 'Apture Linking Platform', 'Brightcove', 'CDN JS', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'ETranslate', 'ElementUI', 'Facebook Reseller', 'GTranslate', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Help.com', 'IcoMoon', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'My Surgery Website', 'Tailwind CSS', 'Texthelp', 'Twitter Ads', 'UTF-8', 'UserWay', 'Vercel', 'Vimeo', 'Vue.js', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
birchwoodpractice.co.uk,Homepage - The Birchwood Medical Centre,,,55,8779,2026-04-26T20:48:55.208572295Z,"['Amazon', 'Apture Linking Platform', 'Brightcove', 'CDN JS', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'ETranslate', 'ElementUI', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Help.com', 'IcoMoon', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'My Surgery Website', 'Tailwind CSS', 'Texthelp', 'Twitter Ads', 'UTF-8', 'UserWay', 'Vercel', 'Vimeo', 'Vue.js', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
riddingsfamilyhealthcentre.co.uk,Homepage - Riddings Family Health Centre,,GBR,75,39965,2026-04-26T20:48:55.186935248Z,"['Amazon', 'App Store', 'Apture Linking Platform', 'Brightcove', 'CDN JS', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'ETranslate', 'ElementUI', 'Facebook Reseller', 'GTranslate', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Help.com', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'My Surgery Website', 'Texthelp', 'Thank You', 'Twitter Ads', 'UTF-8', 'Vercel', 'Vimeo', 'Vue.js', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
burnfieldmedicalpractice.co.uk,Homepage - Burnfield Medical Practice,,,50,8289,2026-04-26T14:29:19.980582031Z,"['Amazon', 'Apture Linking Platform', 'Brightcove', 'CDN JS', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'ETranslate', 'ElementUI', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Help.com', 'IcoMoon', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'My Surgery Website', 'Tailwind CSS', 'Texthelp', 'Twitter Ads', 'UTF-8', 'Vercel', 'Vimeo', 'Vue.js', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
drbhimapracticerochdale.nhs.uk,Homepage - The Bhima Family Practice,,,55,8879,2026-04-26T13:08:20.011983553Z,"['Amazon', 'Apture Linking Platform', 'Brightcove', 'CDN JS', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'ETranslate', 'ElementUI', 'Facebook Reseller', 'GTranslate', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Help.com', 'IcoMoon', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'My Surgery Website', 'Tailwind CSS', 'Texthelp', 'Twitter Ads', 'UTF-8', 'UserWay', 'Vercel', 'Vimeo', 'Vue.js', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
cliniclimerick.com,Homepage - RoyalMed Health Centre,,,55,8389,2026-04-24T23:17:20.003389934Z,"['Amazon', 'Apture Linking Platform', 'Brightcove', 'CDN JS', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'ETranslate', 'ElementUI', 'Facebook Reseller', 'GTranslate', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Help.com', 'IcoMoon', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'My Surgery Website', 'Tailwind CSS', 'Texthelp', 'Twitter Ads', 'UTF-8', 'Vercel', 'Vimeo', 'Vue.js', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
attipscast.com,The Compendium Blog of The A.T.TIPSCAST | Christopher R. Bugaj,,FRA,87,121912,2026-04-24T05:01:34.792531175Z,"['AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'Amazon Widgets', 'Apple Auto Link Maker', 'Apture Linking Platform', 'Automattic', 'CoBlocks', 'Coming Soon Page', 'Constant Contact', 'Convio', 'DAV', 'Edmodo', 'EmbedPress', 'Express', 'GDPR Consent Management Platform', 'Google', 'Google Cloud CDN', 'Google My Business', 'Gravity', 'Harbor', 'Help.com', 'InitiativeS', 'Jetpack', 'Jetpack Site Accelerator', 'KVH', 'Krypt Technologies', 'Listly', 'NFOrce Internet', 'Nginx', 'Ntent', 'Oddle', 'PHP', 'Perl', 'QUIC', 'SMC', 'Scoop It', 'Share Link', 'Tailwind CSS', 'Telegram', 'Texthelp', 'Thank You', 'Twitter Ads', 'Twitter CDN', 'UTF-8', 'University or College', 'Vine Embed', 'Wikispaces', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'about.me', 'eLand']"
lifeattpt.com,IXL Learning | Join our team,,,57,148868,2026-04-23T19:17:20.011721491Z,"['AWS WAF Challenge', 'AddShoppers', 'Akamai Edge', 'Akamai Global Host', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'AppNexus Direct', 'Bing Cashback', 'Bing Conversion Tracking', 'Bizo', 'Brightcove', 'ByteDance', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Stream', 'Criteo', 'DoubleClick Bid Manager', 'Facebook Login', 'Facebook Reseller', 'Fonts.com', 'GRIN', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Recommendations AI', 'Google Reseller', 'Google Tag Manager', 'Greenhouse', 'Help.com', 'Instagram Follow Button', 'JW Player Platform', 'Kaltura', 'LinkedIn Pixel', 'Loggly', 'Microsoft Clarity', 'Ntent', 'Oribi Analytics', 'Placehold IT', 'RM Education', 'Rakuten Affiliate', 'Rokt', 'SMC', 'SafeOpt', 'Salesforce Social Studio', 'Storyblocks', 'TVSquared', 'Texthelp', 'Twitter Ads', 'UTF-8', 'Wistia', 'Yahoo Image CDN', 'Yahoo Web Analytics', 'YouTube']"
heywoodhealth.co.uk,Homepage - Heywood Health,,,55,8389,2026-04-23T00:50:17.149162949Z,"['Amazon', 'Apture Linking Platform', 'Brightcove', 'CDN JS', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'ETranslate', 'ElementUI', 'Facebook Reseller', 'GTranslate', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Help.com', 'IcoMoon', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'My Surgery Website', 'QUIC', 'Tailwind CSS', 'Texthelp', 'Twitter Ads', 'UTF-8', 'Vercel', 'Vimeo', 'Vue.js', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
