domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
solashealthcare.com,Solas Healthcare: Responsible Officer Services,,GBR,82,20496,2026-05-07T15:25:28.440946754Z,"['AWS WAF Challenge', 'Akismet', 'Alternate Protocol', 'Apture Linking Platform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'EmbedPress', 'Express', 'Google', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'MonsterInsights', 'PHP', 'QUIC', 'Sitelinks Search Box', 'Tidio', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'reCAPTCHA']"
cleanmyrugsf.com,Rug Cleaning & Rug Repair in San Francisco Bay Area | Zoom Rugs,,USA,82,8536,2026-05-07T15:23:19.99260598Z,"['Alternate Protocol', 'Cisco/Arrowpoint Content Service Switch', 'Content Delivery Network', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Express', 'Google Cloud DNS', 'Google Font API', 'Hello Elementor', 'Instagram Follow Button', 'LiteSpeed', 'Metform Elemento', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'PHP', 'Perl', 'QUIC', 'Table Addons for Elementor', 'Theme In WP', 'Tidio', 'TrustIndex', 'UTF-8', 'Vimeo', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'Yelp Badge', 'YouTube', 'eLand', 'jQuery']"
fortcareclinic.com,Fort Care Mobile Healthcare Clinic,Fort Care Mobile Healthcare Clinic,USA,70,20952,2026-05-07T15:23:19.9898246Z,"['AFIB QR', 'AWS WAF Challenge', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Google My Business', 'IcoMoon', 'InitiativeS', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'QUIC', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'Thank You', 'Tidio', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
pxlpod-tech.com,Website Management & Conversion-Focused WordPress Services | PXLPOD,PXLPod Media Web Strategy,USA,77,118268,2026-05-07T15:17:20.00226798Z,"['AWS WAF Challenge', 'Agoda', 'Apture Linking Platform', 'Apyl', 'Cloudflare', 'Content Delivery Network', 'Cornerstone', 'CrazyEgg', 'DAV', 'Elfsight', 'EmbedPress', 'Express', 'Federal Deposit Insurance Corporation', 'Financial Services Guide', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'InitiativeS', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NitroPack', 'No-Q', 'PHP', 'Perl', 'SMC', 'ShareThis', 'Social Warfare', 'Subversion', 'Tailwind CSS', 'Tidio', 'TrustIndex', 'UTF-8', 'University or College', 'WP Engine', 'WordPress', 'WordPress Multisite', 'accessiBe']"
fishrazr.com,Saltwater Fishing Gear | Tournament-Grade Tackle | Fish Razr,Fish Razr,USA,82,20635,2026-05-07T15:16:05.332068463Z,"['Apps4BigCommerce', 'BigCommerce', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Elfsight', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Microdata for Google Shopping', 'Perl', 'QUIC', 'Squid', 'Tailwind CSS', 'Tidio', 'UTF-8', 'jQuery']"
solhop.com,Airport Taxi Transfers in Spain | Book now with Solhop.com,Solhop,ESP,92,1889,2026-05-07T15:16:05.326011387Z,"['Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'CookieYes', 'DAV', 'ElementUI', 'FreeCSSTemplates', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'ReviewCenter', 'Tidio', 'Twitter Ads', 'UTF-8']"
bestsaratogarealtor.com,"Sheri McCarthy | Real Estate Expertise in Saratoga Springs, Bolton, Latham & Roatan",,GBR,72,7030,2026-05-07T15:11:19.992222948Z,"['ASP.NET Core', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'CloudFront', 'Content Delivery Network', 'CookieYes', 'Font Awesome', 'Google Analytics', 'Google Tag Manager', 'Homes.com CMS', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'Tidio']"
ziea.net,ZIEA One - The device that reclaims your focus.,ZIEA,,60,1452,2026-05-07T14:53:19.992330458Z,"['Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Fastly', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Clarity', 'QUIC', 'Shopify', 'Shopify Collabs', 'Tidio', 'UTF-8', 'Yahoo Finance Widget', 'YouTube', 'hCaptcha', 'jsDelivr', 'reCAPTCHA']"
schoonoverinc.com,Schoonover- Your source for technical equipment.,Schoonover Inc.,,82,1771,2026-05-07T14:36:52.881760235Z,"['Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Google Related Website Sites', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Schema Plugin', 'SiteOrigin', 'SiteOrigin Panels', 'Theme In WP', 'Tidio', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
balestreribuildersinc.com,Custom Home Builder Monterey & Carmel | Balestreri Builders,,AUS,82,18486,2026-05-07T14:26:20.014341483Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Animate It', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Fastly', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Nectar Slide Plugin', 'PHP', 'Post Grid', 'QUIC', 'Salient', 'Site Kit', 'Sitelinks Search Box', 'Tailwind CSS', 'Theme In WP', 'Tidio', 'UTF-8', 'WPBakery', 'WordPress', 'WordPress Multisite', 'jQuery']"
