domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
finxforum.com,Home | FinX Forum,,GBR,75,110108,2026-02-12T03:45:55.873858905Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Tipalti', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
tipaltievents.com,Tipalti | Finance Automation that puts you in charge,,USA,77,93937,2026-02-04T04:10:48.883453266Z,"['AI Log', 'AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Content Delivery Network', 'EmbedPress', 'Fireblade', 'GoDaddy', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Microdata for Google Shopping', 'Onyx Internet', 'Oracle Cloud', 'PHP', 'QUIC', 'Sage Intacct', 'Sitelinks Search Box', 'Tailwind CSS', 'Thank You', 'Theme In WP', 'Tipalti', 'Twitter Ads', 'UTF-8', 'WP Engine', 'WordPress', 'WordPress Multisite', 'Zendesk Embeddables']"
gdcfocuson.com,GDC Festival of Gaming,,VEN,82,352755,2026-01-23T12:54:28.613142164Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Alternate Protocol', 'Amazon Link Enchancer', 'Amazon WAF Blocked', 'Amazon Widgets', 'Apture Linking Platform', 'Aruba', 'CDN JS', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'DAV', 'Express', 'Fastly', 'Fireblade', 'GDPR Consent Management Platform', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Imgix', 'Informa Markets', 'Instagram Follow Button', 'Keywords Studios Publisher', 'Linktree', 'Microdata for Google Shopping', 'Neighborhoods', 'New Relic', 'OneTrust Domain Verification', 'Oracle Cloud', 'Pleroma', 'QUIC', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'Share Link', 'Show.co', 'Styled Components', 'Subversion', 'Thank You', 'Tipalti', 'Twitter Ads', 'UTF-8', 'University or College', 'VWO Engage', 'Visual Website Optimizer', 'YouTube', 'eLand', 'eShow']"
mps-paymentservices.com,Home - MPS Payment Services,MPS Payment Services,PHL,77,27602,2026-01-23T01:32:37.329298023Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Contact Form Plugin', 'DAV', 'Elementor', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Popup Maker for Wordpress', 'QUIC', 'SiteW', 'Sitelinks Search Box', 'Slider Revolution', 'Theme In WP', 'Tipalti', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
suitegenius.ca,Oracle NetSuite ERP Partner | ERP Success Partners,"ERP Success Partners, Inc.",FRA,77,205653,2026-01-17T07:01:12.19441454Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Cybot', 'Divi', 'Elegant Themes', 'EmbedPress', 'GZIP Module', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'Instagram Follow Button', 'Lever', 'LinkedIn Insights', 'LinkedIn Pixel', 'Microdata for Google Shopping', 'Netsuite Site Builder', 'Oracle Cloud', 'PHP', 'QUIC', 'SMC', 'Tailwind CSS', 'Theme In WP', 'Tipalti', 'TranslatePress', 'Twitter Ads', 'UTF-8', 'WP Engine', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery']"
honeygaind.com,Honeygain | A Simple Earning App That Works in the Background,Honeygain,,67,68100,2026-01-13T11:13:00.247253964Z,"['Adult Content', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Discord', 'Fastly', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'Ntent', 'Pico CSS', 'Pleroma', 'QUIC', 'SMC', 'Styled Components', 'Tipalti', 'Trustpilot Reviews for WordPress', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'YouTube']"
hyperbound.ai,Hyperbound | AI Sales Coaching & Role-Play Platform,,GBR,72,216020,2026-01-05T19:21:08.557196641Z,"['AWS WAF Challenge', 'Amazon', 'Amazon CloudFront', 'Animate It', 'Apture Linking Platform', 'Autodesk', 'Bound', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Guesty', 'Hotjar', 'HubSpot Conversations', 'Hubspot', 'InitiativeS', 'Instagram Follow Button', 'JumpCloud', 'QUIC', 'Salesforce Hosted', 'Tailwind CSS', 'Termly', 'Tipalti', 'Vector Internet Services', 'WF Cookie Consent', 'YouTube', 'jsDelivr']"
moxxie.vc,Moxxie | Build with Moxxie,Moxxie Ventures,NZL,77,30776,2025-12-24T17:22:38.328785703Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Apture Linking Platform', 'Carta', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'DAV', 'GZIP Module', 'Homes.com CMS', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'Perl', 'QUIC', 'Tailwind CSS', 'Tipalti', 'Twitter Ads', 'Vector Internet Services', 'WF Cookie Consent', 'Webflow', 'jsDelivr']"
bestsoftus.com,"BESTSOFT | SEO, Content Writing & Digital Marketing Company","BESTSOFTUS | SEO, Digital Marketing & Web Development Company",,72,144897,2025-11-21T01:42:19.432409332Z,"['2Checkout', 'Alternate Protocol', 'Apache', 'Better Lead Generation Services', 'Bulma', 'Checkout.com', 'Cisco/Arrowpoint Content Service Switch', 'CoinPayments', 'Coinbase', 'Coingate', 'Coming Soon Page', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Ethy', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'K2F', 'KVH', 'Landis Holdings', 'Microdata for Google Shopping', 'No-Q', 'PHP', 'Perl', 'Python', 'QUIC', 'SMC', 'Shiprocket', 'Simply Hired', 'SiteGround Optimizer', 'Tailwind CSS', 'Telegram', 'Tipalti', 'Twitter Ads', 'UTF-8', 'University or College', 'Vector Internet Services', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'YouTube', 'eLand', 'jQuery']"
aortasystems.com,Aorta Systems - Your Salesforce Technology Partner,Aorta Systems,USA,92,390946,2025-11-20T22:38:33.347721761Z,"['Alternate Protocol', 'Cloudflare', 'CoBlocks', 'Content Delivery Network', 'Divi', 'Elegant Themes', 'EmbedPress', 'Flow', 'GoDaddy', 'Google Cloud DNS', 'Google Font API', 'JIRA', 'MeetElise', 'Microdata for Google Shopping', 'PHP', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'Seismic', 'Theme In WP', 'Tipalti', 'UTF-8', 'Wangsu', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
