domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
benbreckler.lu,Ben Breckler,,,52,6920,2026-05-25T23:06:16.429657493Z,"['Framer Sites', 'Google', 'Google Cloud CDN', 'K2F', 'Lemon Squeezy', 'Ntent', 'Todoist', 'Yandex Hosting', 'Zeald']"
curatedlists.site,CuratedLists - Discover the Best Tools for Every Need | 2025,,,72,196537,2026-05-25T13:57:58.84525551Z,"['AAPT', 'Apture Linking Platform', 'Apyl', 'Better Lead Generation Services', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Figma', 'Financial Services Guide', 'Fireblade', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'HMDG', 'IPFS', 'Imgix', 'K2F', 'KVH', 'M247', 'Next.js', 'No-Q', 'OpenAI', 'PHP', 'Paessler', 'Perl', 'Pipedrive', 'Pleroma', 'Product Hunt', 'QUIC', 'Rush', 'SMC', 'Semrush', 'Subversion', 'Tailwind CSS', 'Tally', 'Todoist', 'Trello', 'UTF-8', 'Unix', 'Vector Internet Services', 'Visual Studio', 'Visx', 'WordPress', 'Wrike', 'shadcn ui']"
fmalibrary.com,Fleet Maintained Apps Growth,,,57,40362,2026-05-22T07:35:19.991153361Z,"['1Password', 'Aircall', 'Alternate Protocol', 'Amazon CloudFront', 'Amazon S3 CDN', 'Apture Linking Platform', 'Asana', 'Bitwarden Passwordless', 'Canva Websites', 'Cisco/Arrowpoint Content Service Switch', 'Citrix', 'ClickUp', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'DAV', 'DC74', 'Dialpad', 'Express', 'Fastly', 'Fastly CDN', 'Figma', 'GZIP Module', 'GitHub Hosting', 'Google Cloud DNS', 'Google Cloud Storage', 'Google My Business', 'Grammarly', 'Microsoft Azure Blob Storage', 'NordPass', 'Ntent', 'Okta', 'Oracle Cloud', 'PHP', 'Python', 'QUIC', 'RawGit', 'Salesforce Experience Cloud', 'Slack', 'Storyblocks', 'TeamViewer', 'Telegram', 'Todoist', 'UTF-8', 'Vector Internet Services', 'Vercel', 'Visual Studio', 'Wrike', 'Zoom Video Conferencing', 'eLand', 'jsDelivr']"
thinkfit.app,Home - ThinkFit,Think Fit,USA,82,22058,2026-05-22T05:23:12.51671215Z,"['AWS WAF Challenge', 'Alternate Protocol', 'App Store', 'Aruba', 'Astra Theme', 'Automattic', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'GZIP Module', 'Google', 'Google Analytics', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Instagram Follow Button', 'Jetpack', 'LiteSpeed', 'Microdata for Google Shopping', 'MonsterInsights', 'NFOrce Internet', 'PHP', 'QUIC', 'Table Addons for Elementor', 'Theme In WP', 'Todoist', 'Twitter Ads', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Payments', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'WordPress Stats', 'YouTube', 'jQuery', 'reCAPTCHA']"
homeworkhacks.ai,Top 10 Chrome Extensions for Students in 2023,,GBR,72,102608,2026-05-20T02:17:20.014792854Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google My Business', 'Grammarly', 'NFOrce Internet', 'PWA', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Todoist', 'UTF-8', 'University or College', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
ajaywatpade.in,Ajay Watpade - Portfolio,,IND,72,740,2026-05-14T23:05:19.989994384Z,"['GitHub Hosting', 'Instagram Follow Button', 'LiteSpeed', 'PHP', 'QUIC', 'Tailwind CSS', 'Todoist', 'UTF-8', 'Vercel', 'WhatsApp Sharing', 'shadcn ui']"
invoiceradar.at,Invoice Radar - Automate your invoice collection,,,67,159289,2026-05-11T19:56:19.9837453Z,"['AWIN', 'Adrecord', 'Airbnb', 'Airtable', 'AliExpress', 'Alternate Protocol', 'Amazon Link Enchancer', 'Asana', 'Booking Affiliate', 'Canva Websites', 'ClickUp', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Content Delivery Network', 'DAV', 'Express', 'Figma', 'Financial Services Guide', 'GitHub Hosting', 'GoDaddy', 'Google My Business', 'Google Retail Product Discovery', 'Heroku', 'Hugging Face Space', 'Impact', 'K2F', 'Linktree', 'Mailjet Widget', 'Microdata for Google Shopping', 'Netlify', 'Next.js', 'No-Q', 'Notion', 'Onepage IO', 'OpenAI', 'Otter Text', 'Pipedrive', 'Plausible Analytics', 'ProfitWell', 'QUIC', 'RM Education', 'SMC', 'SalesViewer', 'ScaleWay', 'SendGrid Widget', 'Shopify', 'Shutterstock', 'Sinch', 'Slack', 'SmartLead AI', 'Tailwind CSS', 'Todoist', 'TradeDoubler', 'Trello', 'Twitter Ads', 'UTF-8', 'Vercel', 'Vultr', 'Walmart', 'Way', 'Webflow', 'Website Tonight', 'Xero', 'eLand', 'easybill', 'financeAds', 'monday.com', 'shadcn ui']"
brianpeddie.com,BrainSpeed - AI-Powered Learning Platform,,,67,32059,2026-05-11T09:44:20.026286073Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Cornerstone', 'Drata', 'GZIP Module', 'Google Tag Manager', 'NFOrce Internet', 'Next.js', 'Nginx', 'QUIC', 'Tailwind CSS', 'Todoist', 'Trello', 'UTF-8']"
softwaresolutions.group,Professional Software Conversion Solutions,SoftwareSolutions.Group,,82,21212,2026-05-08T19:20:19.990560172Z,"['GitHub Hosting', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Line2', 'Microdata for Google Shopping', 'Oracle Cloud', 'PWA', 'Todoist', 'UTF-8', 'Wangsu', 'Website Tonight']"
fireofficers.org,Tools for Fire Officers,,USA,65,79459,2026-05-08T06:08:19.981660656Z,"['Amazon', 'Apache', 'Apture Linking Platform', 'ClickOn', 'Express', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Recommendations AI', 'Google Related Website Sites', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'Paessler', 'SMC', 'Sapper', 'Schema Plugin', 'Subversion', 'Todoist', 'UTF-8', 'Zope']"
yourdailyway.com,YourDailyWay | Daily Routine Analysis & Productivity Tips,YourDailyWay | Daily Routine Analysis & Productivity Tips,,67,58409,2026-05-08T00:02:19.999657514Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon Widgets', 'Apture Linking Platform', 'Astro', 'Content Delivery Network', 'Cornerstone', 'DAV', 'Express', 'Fireblade', 'Google', 'Google Analytics', 'Google Calendar', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Hootsuite Badge', 'IcoMoon', 'InitiativeS', 'Instagram Follow Button', 'Krypt Technologies', 'Medium', 'Microdata for Google Shopping', 'NFOrce Internet', 'Notion', 'OSS CDN', 'PWA', 'Perl', 'QUIC', 'Sitelinks Search Box', 'Slack', 'TUNE', 'Telegram', 'Todoist', 'Trello', 'Twitter Ads', 'UTF-8', 'Underscores', 'University or College', 'Vercel', 'Way', 'YouTube', 'Zoom Video Conferencing', 'shadcn ui']"
dropbuild.ai,Scale Your AI Offer | Dropbuild.ai,,,67,32840,2026-05-05T21:35:19.991362143Z,"['Asana', 'DAV', 'Financial Services Guide', 'Framer Sites', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Google Workspace', 'Instagram Follow Button', 'KVH', 'Notion', 'Ntent', 'QUIC', 'Slack', 'Todoist', 'Trello', 'Twitter Ads', 'YouTube', 'Zeald']"
sharjeelsayed.com,sharjeelsayed (Sharjeel) · GitHub,,,62,27645,2026-05-04T17:20:57.360027034Z,"['Alternate Protocol', 'Amazon', 'Amazon WAF Blocked', 'Apache', 'BlankSlate', 'Express', 'Fastly', 'Fireblade', 'GZIP Module', 'GitHub Hosting', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure Blob Storage', 'Nginx', 'Ntent', 'PWA', 'Perl', 'Pinboard', 'Python', 'QUIC', 'RawGit', 'Schema Plugin', 'Smart App Banner', 'Storyblocks', 'Tailwind CSS', 'Telegram', 'Todoist', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'Vercel', 'YouTube', 'jsDelivr', 'shadcn ui']"
clicktoolsai.com,Click Tools AI | AI Tools Directory and Reviews,Click Tools AI,BGD,82,31840,2026-05-03T15:59:20.000048976Z,"['AI Log', 'Ajax Search Lite', 'Alternate Protocol', 'Asana', 'Astra Theme', 'ClickUp', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Essential Blocks for Gutenberg', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Google Workspace', 'Grammarly', 'Gravity', 'Hootsuite Badge', 'LiteSpeed', 'Microdata for Google Shopping', 'Microsoft 365', 'NFOrce Internet', 'Notion', 'OpenAI', 'Otter Text', 'PHP', 'QUIC', 'Rush', 'Semrush', 'Sitelinks Search Box', 'Slack', 'Sprout Social', 'The Post Grid', 'Theme In WP', 'Todoist', 'Trello', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooLentor', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery', 'monday.com']"
aledb.com,Alexandria's Database - Discover the Best Internet Resources,,,67,59110,2026-05-02T17:35:20.016983219Z,"['AWS WAF Challenge', 'Alibaba Cloud CDN', 'Alternate Protocol', 'AnyChat', 'Apache', 'Beehiiv', 'Better Lead Generation Services', 'Canva Websites', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'D3 JS', 'DAV', 'Figma', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Giphy', 'GitHub Hosting', 'GoFundMe', 'Google My Business', 'Harbor', 'Heroku', 'Hugging Face Space', 'KAYAK', 'Lemon Squeezy', 'Microdata for Google Shopping', 'Netlify', 'Next.js', 'Parcel', 'ProfitWell', 'Python', 'QUIC', 'Radix UI', 'Rev', 'SendGrid Widget', 'Svelte', 'Tailwind CSS', 'Telegram', 'Todoist', 'TradingView', 'Trello', 'UTF-8', 'Vector Internet Services', 'Vercel', 'Verse.io']"
eagle.mk,Home - Eagle IT Solutions,,MKD,70,32211,2026-05-02T08:20:20.011403459Z,"['AWS WAF Challenge', 'Calendly', 'Clutch', 'Content Delivery Network', 'Cornerstone', 'Free Call', 'Giphy', 'Google My Business', 'Grammarly', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'Notion', 'OpenAI', 'Otter Text', 'Pleroma', 'QUIC', 'Rush', 'Semrush', 'Tailwind CSS', 'Todoist', 'UTF-8', 'Underscores', 'Vercel', 'WordPress', 'WordPress Multisite', 'shadcn ui']"
basicsofaiandagent.xyz,Basics of AI and Agents,,,67,199559,2026-05-01T05:20:20.001330763Z,"['AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'Amazon Link Enchancer', 'Amazon WAF Blocked', 'Amazon Widgets', 'Apture Linking Platform', 'CM Commerce', 'Camp', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Coming Soon Page', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'Discord', 'Express', 'Fireblade', 'GitHub Hosting', 'Google Calendar', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Gravity', 'Medium', 'NFOrce Internet', 'Next.js', 'Nginx', 'OpenAI', 'OpenSSL', 'PagerDuty', 'Perl', 'Python', 'QUIC', 'Salesforce Hosted', 'Slack', 'Tailwind CSS', 'Todoist', 'UPS', 'UTF-8', 'Underscores', 'Unix', 'Vector Internet Services', 'Vercel', 'Visual Studio', 'YouTube', 'shadcn ui']"
