domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
schooltune.com,Schooltune,,,55,7413,2026-05-27T08:32:19.968209253Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'App Store', 'Bulma', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'GZIP Module', 'GetResponse', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Play', 'IcoMoon', 'TUNE', 'Twitter Ads', 'YouTube', 'jQuery', 'reCAPTCHA']"
fordracing.com.au,One Of The Most Popular Car Wreckers Offering Cash For Cars,,AUS,82,13403,2026-05-27T07:51:07.505249062Z,"['Alternate Protocol', 'Apache', 'Contact Form Plugin', 'EmbedPress', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Microdata for Google Shopping', 'PHP', 'Sitelinks Search Box', 'TUNE', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
djtfoundation.org,"Contact Bob Barker 🎙️ (2026) Email, Address, Agent, Manager, Publicist",Contact Any Celebrity,USA,77,35463,2026-05-27T04:01:46.867211041Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Alternate Protocol', 'Amazon Widgets', 'Black Book', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'EmbedPress', 'EmbedSocial', 'Express', 'Font Awesome', 'Foundation', 'GenerateBlocks', 'Google Analytics', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'HurryTimer', 'Instagram Follow Button', 'Linktree', 'Microdata for Google Shopping', 'PHP', 'Perl', 'QUIC', 'StudioPress', 'TUNE', 'Table of Contents Plus', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'WP YouTube Lyte', 'Weglot', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'Yet Another Related Posts Plugin', 'YouTube', 'jQuery']"
sallyannfrench.com,Sally French – The Drone Girl Creator | Personal finance writer and spokesperson at NerdWallet | Powerlifter | Weightlifter,,VEN,72,18241,2026-05-27T02:14:19.969614769Z,"['Alternate Protocol', 'Automattic', 'Automattic Direct', 'Cisco/Arrowpoint Content Service Switch', 'CoBlocks', 'Content Delivery Network', 'EmbedPress', 'Global Privacy Control', 'Google Analytics', 'Instagram Follow Button', 'Jetpack', 'Jetpack Site Accelerator', 'Nginx', 'Perl', 'TUNE', 'Twitter Ads', 'US Privacy User Signal Mechanism', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube']"
theinfinitegame.org,"The Infinite Game – Nathalie's Research, Resume and Recommendations",,AUS,77,178241,2026-05-27T01:14:19.969237563Z,"['Adult Content', 'Alternate Protocol', 'Automattic', 'CoBlocks', 'Content Delivery Network', 'EmbedPress', 'Fireblade', 'Google My Business', 'Jetpack', 'Jetpack Site Accelerator', 'Nginx', 'Perl', 'QUIC', 'Salesforce Hosted', 'TUNE', 'Tailwind CSS', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Stats']"
bacongunswhiskey.com,"Bacon, Guns & Whiskey – …with a side of Freedom and Liberty. Common-ish sense in uncommon times.",,USA,77,58280,2026-05-27T00:53:19.973726154Z,"['Alternate Protocol', 'Apture Linking Platform', 'Automattic', 'Coming Soon Page', 'Content Delivery Network', 'EmbedPress', 'Fireblade', 'Harbor', 'Jetpack', 'Jetpack Site Accelerator', 'Neighborhoods', 'Nginx', 'QUIC', 'TUNE', 'Tailwind CSS', 'The Fresh', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'Yahoo Finance Widget']"
qualitycaremedical.com.au,Quality Care Medical | Dr Mario Soteriou | General Practitioner,,AUS,72,148903,2026-05-26T23:02:19.969483316Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'AutoMed Systems', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Subversion', 'TUNE', 'Thank You', 'UTF-8', 'University or College', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom']"
newbizbot.xyz,NewBizBot,,USA,72,1023208,2026-05-26T21:20:19.975418467Z,"['501c3 Status Nonprofit', 'AB Tasty', 'AWS WAF Challenge', 'Accelevents', 'Acquia Cloud Platform CDN', 'Addepar', 'Aircall', 'Akamai mPulse', 'Amazon', 'Amazon S3 CDN', 'Amperity', 'Appcues', 'Apture Linking Platform', 'Aquiline', 'Asana', 'Bizzabo', 'Booker', 'Bullhorn Staffing', 'CDN JS', 'CM Commerce', 'CarGurus', 'Circle.so', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Content Square', 'Cornerstone', 'Corporate Governance and Regulatory Compliance', 'CreatorIQ', 'CryptoRank', 'DAV', 'Datanyze', 'Donor Perfect', 'Dun and BradStreet', 'Express', 'FareHarbor', 'Fireblade', 'Frontify', 'Gainsight', 'Gambling Content', 'Google', 'Google Cloud DNS', 'Google My Business', 'Greenhouse', 'Gusto', 'Harbor', 'InitiativeS', 'Instagram Follow Button', 'Intelligems', 'Investing', 'Investor Relations', 'Lusha', 'Medium', 'Microdata for Google Shopping', 'NFOrce Internet', 'Net Health', 'Next.js', 'OpenAI', 'PHP', 'Perl', 'Privy', 'ProfitWell', 'QUIC', 'Radix UI', 'RealPage', 'Rokt', 'Sign In With Google', 'Smartling', 'Socure', 'Storyblocks', 'Stripe', 'TUNE', 'Tailwind CSS', 'Tebra', 'Toast POS', 'UPS', 'UTF-8', 'Uniswap', 'University or College', 'Vercel', 'Vignette OpenText', 'WordPress', 'Yahoo Finance Widget', 'Yodle', 'YouTube', 'Zowie', 'commercetools', 'route', 'shadcn ui']"
woodlandstallion.com,Woodland Stallion Station,,FRA,65,14228,2026-05-26T17:42:31.063455582Z,"['AJAX Libraries API', 'Alternate Protocol', 'CoBlocks', 'Content Delivery Network', 'EmbedPress', 'Font Awesome', 'FreeCSSTemplates', 'Gambling Content', 'GoDaddy', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'PHP', 'Sucuri Cloudproxy', 'TUNE', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
openfortuneinside.info,OpenFortune | home,OpenFortune,,72,32595,2026-05-26T15:16:53.138655823Z,"['BunnyCDN', 'BunnyCDN General', 'Cloudflare', 'Content Delivery Network', 'Digital Ocean Spaces', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'HubSpot Conversations', 'Hubspot', 'Instagram Follow Button', 'Line2', 'Media.net', 'Microdata for Google Shopping', 'QUIC', 'Schema Plugin', 'TUNE', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'WordPress SEO Structured Data Schema Plugin', 'shadcn ui']"
