domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
protrusive.link,Best of Protrusive,,GBR,72,86428,2026-04-28T22:53:30.220176737Z,"['Adult Content', 'Amazon S3 CDN', 'Cart.com', 'Content ad', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Nginx', 'Passion.io', 'Perl', 'RM Education', 'Storyblocks', 'Twitch', 'Twitter Ads', 'Typeform', 'UTF-8', 'Ubuntu', 'YouTube', 'jQuery', 'jsDelivr']"
cloudmr.io,GCS | Technology Recruitment Specialists,,GBR,72,48292,2026-04-28T22:35:19.998999923Z,"['AWS WAF Challenge', 'Adit Dental Software', 'Bunny Fonts', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Digital Ocean Spaces', 'DoubleClick Bid Manager', 'ElementUI', 'Facebook Reseller', 'Feefo', 'Fireblade', 'FormSubmit', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microsoft Azure Blob Storage', 'Oracle Cloud', 'QUIC', 'Tailwind CSS', 'Twitch', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'YouTube', 'eLand', 'jsDelivr']"
launchnext.pro,Aditi Jain,,,52,,2026-04-28T22:05:20.032584906Z,"['Adult Content', 'Better Lead Generation Services', 'Content ad', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Nginx', 'Perl', 'Twitch', 'Twitter Ads', 'UTF-8', 'Ubuntu', 'YouTube', 'jQuery', 'jsDelivr']"
jybplays.com,"jybplays (@jybplays) | UFC, Merch store | Beacons",,,52,15244,2026-04-28T21:30:54.045766738Z,"['Alternate Protocol', 'Beacons', 'GZIP Module', 'Google Cloud', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nationwide Mortgage Licensing System and Registry', 'Next.js', 'PWA', 'SMC', 'Subversion', 'Twitch', 'Twitter Ads', 'UTF-8', 'Unsplash', 'YouTube']"
weathermandan.me,"@weathermandan | come2myplace with NAOMA, The Weather | Beacons",,,52,160,2026-04-28T21:05:20.041851198Z,"['Alternate Protocol', 'Beacons', 'GZIP Module', 'Google Cloud', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'PWA', 'Subversion', 'Twitch', 'Twitter Ads', 'UTF-8', 'YouTube']"
wurdradio.com,WURD Radio - WURD Radio,"WURD Radio Inc, LLC",USA,82,62586,2026-04-28T20:11:20.010049183Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'App Store', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'DAV', 'Elementor', 'EmbedPress', 'Eventbrite', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Instagram Follow Button', 'Material Design Icons', 'Microdata for Google Shopping', 'MonsterInsights', 'NFOrce Internet', 'Oracle Cloud', 'PHP', 'Shopify', 'Slider Revolution', 'Theme In WP', 'Twitch', 'Twitter Ads', 'UTF-8', 'University or College', 'WP Advanced Ads', 'WP Engine', 'Waveform Technology', 'WordPress', 'WordPress Ad Manager and AdSense Ads', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery']"
engorgedtits.com,engorgedtits.com – Put some breast milk in your life,,,60,994,2026-04-28T16:42:51.855422406Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'BunnyCDN', 'BunnyCDN General', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Express', 'Fontello', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'IcoMoon', 'Lazy Load for WordPress', 'NFOrce Internet', 'Nginx', 'PHP', 'Parallels Plesk Panel', 'Perl', 'Pico CSS', 'Title 18, USC 2257', 'Twitch', 'UTF-8', 'WP Rocket', 'Woo Themes', 'WordPress', 'WordPress Multisite']"
vaylinks.com,Stellar Beats. Good Vibes. Intergalactic Party Alliance.,,,52,244,2026-04-28T16:26:19.98703544Z,"['Alternate Protocol', 'Apture Linking Platform', 'Beacons', 'GZIP Module', 'Google Cloud', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nationwide Mortgage Licensing System and Registry', 'Next.js', 'PWA', 'Subversion', 'Twitch', 'UTF-8', 'Unsplash', 'Vimeo', 'YouTube']"
melvasharpe.com,Alamance Regional's 25th Anniversary Campaign - Melva Sharpe,,,57,4328,2026-04-28T16:20:19.977605689Z,"['AWS WAF Challenge', 'Amazon CloudFront', 'Amazon WAF Blocked', 'Bulma', 'CloudFront', 'Cloudinary', 'Double the Donation', 'Facebook Embedded Posts', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'No-Q', 'OneCause', 'PWA', 'QUIC', 'StackPath', 'Tailwind CSS', 'Thank You', 'Twitch', 'UTF-8', 'University or College', 'YouTube']"
roope.eu,Roope's portfolio,,,55,285,2026-04-28T16:11:20.009873786Z,"['ArvanCloud', 'Flat Icon', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'Nginx', 'Python', 'Tailwind CSS', 'Twitch', 'University or College', 'jsDelivr']"
itsdjtru.com,Itsdjtru | Book Your Event Today,Itsdjtru Entertainment,,57,26804,2026-04-28T15:56:19.998913481Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'Twitch', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
navigatorvztahu.cz,Tomáš Ponikl,,,30,120,2026-04-28T15:29:19.996363685Z,"['Amazon', 'Bing Cashback', 'Cloudflare', 'Cloudflare CDN', 'DoubleClick Bid Manager', 'Google', 'Google Analytics', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Microsoft Clarity', 'Snowplow', 'Streamable', 'Stripe', 'Tailwind CSS', 'Twitch', 'UTF-8', 'Vimeo', 'YouTube', 'jsDelivr', 'shadcn ui']"
conwaytitty.com,Conway Titty,,,47,20160,2026-04-28T15:23:19.998201488Z,"['Adult Content', 'Alternate Protocol', 'Beacons', 'GZIP Module', 'Giphy', 'Google Cloud', 'Instagram Follow Button', 'KVH', 'Microdata for Google Shopping', 'Next.js', 'OnlyFans', 'PWA', 'SMC', 'Subversion', 'Twitch', 'Twitter Ads', 'UTF-8', 'Way', 'YouTube']"
lazypotnoodle.org,Lazy Pot Noodle,,,47,5160,2026-04-28T14:26:19.980168746Z,"['Alternate Protocol', 'Amazon Widgets', 'Beacons', 'GZIP Module', 'Google Cloud', 'KVH', 'Microdata for Google Shopping', 'Next.js', 'PWA', 'Twitch', 'UTF-8', 'YouTube']"
cooledtured.com,cooledtured | Home,,,57,7737,2026-04-28T14:12:48.367812138Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'DC74', 'Discord', 'Giphy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Recommendations AI', 'Instagram Follow Button', 'Klaviyo', 'Medium', 'Ntent', 'Remix', 'Shopify', 'Shopify Collabs', 'Smile IO', 'Squid', 'Tailwind CSS', 'Twitch', 'Web3Forms', 'YouTube', 'jsDelivr', 'shadcn ui']"
trentarthur.ca,Arthur Newspaper,,,57,459,2026-04-28T13:53:08.556897773Z,"['AJAX Libraries API', 'Adobe Creative Cloud WebFonts', 'Amazon', 'Amazon CloudFront', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'DAV', 'Donorbox', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Oracle Cloud', 'Tailwind CSS', 'Twitch', 'Twitter Ads', 'UTF-8', 'WF Cookie Consent', 'jsDelivr']"
mikatv.store,MIKATV,,,47,160,2026-04-28T13:26:19.996108224Z,"['Afiliados', 'Alternate Protocol', 'Beacons', 'GZIP Module', 'Google Cloud', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nationwide Mortgage Licensing System and Registry', 'Next.js', 'PWA', 'Subversion', 'Twitch', 'Twitter Ads', 'UTF-8', 'YouTube']"
awalkerr.com,"@awalkerr | Your Taste Buds Favorite Energy Drink, | Beacons",,,52,347,2026-04-28T12:56:20.001566893Z,"['Alternate Protocol', 'Beacons', 'DAV', 'GZIP Module', 'Google Cloud', 'Google Cloud DNS', 'Google Cloud Storage', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'PWA', 'Subversion', 'Twitch', 'UTF-8', 'Unsplash']"
lilbayshrimp.com,"@lilbayshrimp | ≽^•⩊•^≼ Wishlist ₊˚⊹♡, Onlyshrimps | Beacons",,,52,244,2026-04-28T12:08:19.997999372Z,"['Adult Content', 'Alternate Protocol', 'Beacons', 'GZIP Module', 'Google Cloud', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'OnlyFans', 'PWA', 'Subversion', 'Twitch', 'UTF-8', 'Unsplash']"
tinowl.dev,TinOwl,,,35,600,2026-04-28T10:56:20.000824438Z,"['Content Delivery Network', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Twitch', 'UTF-8']"
energyforlifewalk.org,United Mitochondrial Disease Foundation (UMDF),,USA,67,34523,2026-04-28T07:53:19.979633549Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Advertising.com', 'Amazon', 'Amazon Associates Affiliate Shop', 'AppNexus Direct', 'CloudSponge', 'Cloudflare', 'Criteo', 'Double the Donation', 'DoubleClick Bid Manager', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Header Tag by Index Exchange', 'IcoMoon', 'Instagram Follow Button', 'Juicer DMP', 'MediaMath', 'Ntent', 'OpenX Direct', 'PHP', 'Pubmatic', 'Quantcast Direct', 'RM Education', 'Storyblocks', 'Stripe', 'Tailwind CSS', 'Twitch', 'Twitter Ads', 'UTF-8', 'Vimeo', 'Way', 'YouTube', 'jQuery', 'jsDelivr']"
minnehack.com,MinneHack 2026,,,35,99,2026-04-28T06:24:41.202147235Z,"['Corporate Governance and Regulatory Compliance', 'Font Awesome', 'GitHub Hosting', 'Nginx', 'Twitch', 'Twitter Ads', 'University or College']"
moon-on.cz,Moon.On - digital design & e-commerce studio,,,60,120,2026-04-28T05:35:17.725567392Z,"['Amazon', 'Bing Cashback', 'Cloudflare', 'Cloudflare CDN', 'DoubleClick Bid Manager', 'Google', 'Google Analytics', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Microsoft Clarity', 'Shoptet', 'Snowplow', 'Streamable', 'Stripe', 'Tailwind CSS', 'Twitch', 'UTF-8', 'Vimeo', 'YouTube', 'jsDelivr', 'shadcn ui']"
ladyheartcollection.com,Lady Heart,Lady Heart,,57,17135,2026-04-28T02:33:26.204191086Z,"['ADFOX', 'Amazon Associates Affiliate Shop', 'Amazon CloudFront', 'Apture Linking Platform', 'Automattic', 'BLR', 'Baidu Ads', 'Baidu Cloud', 'Bing Cashback', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'DailyMotion Video', 'Disqus Comment System for WordPress', 'Duoban', 'Ethy', 'Extole', 'Fastly', 'Goldstar', 'Google My Business', 'Google Play', 'Google Related Website Sites', 'Hootsuite Badge', 'Instagram Follow Button', 'Medium', 'Microdata for Google Shopping', 'Mixi', 'Netvibes', 'Perl', 'Pinboard', 'Python', 'QUIC', 'Scoop It', 'Shopify', 'Shopify Collabs', 'Shopzilla', 'Storyblocks', 'Subversion', 'Tailwind CSS', 'Thumbor', 'Tumblr', 'Twitch', 'Twitter Ads', 'UPS', 'UTF-8', 'User.com', 'Vimeo', 'Walmart', 'Yandex Hosting', 'Yelp Badge', 'YouTube', 'hCaptcha', 'reCAPTCHA']"
siliconartgaming.com,siliconartGAMING,,,62,33306,2026-04-27T23:32:20.018415842Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon Associates', 'Amazon Widgets', 'Apture Linking Platform', 'Beacons', 'Endis', 'GZIP Module', 'Genius Link', 'Google Cloud', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Linktree', 'Microdata for Google Shopping', 'Next.js', 'PWA', 'Perl', 'Twitch', 'Twitter Ads', 'UTF-8', 'Unsplash', 'YouTube', 'shadcn ui']"
womenswimmin.org,2026 Women Swimmin' & Go the Distance for Hospicare,,,62,34760,2026-04-27T19:50:19.981810284Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Adult Content', 'Amazon CloudFront', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Bulma', 'CloudFront', 'Cloudinary', 'Double the Donation', 'Express', 'Facebook Embedded Posts', 'GZIP Module', 'Gambling Content', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Homes.com CMS', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'OneCause', 'PWA', 'QUIC', 'Schema Plugin', 'StackPath', 'Tailwind CSS', 'Thank You', 'The Deck', 'Twitch', 'UTF-8', 'YouTube']"
