domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
oldnational.foundation,Foundation Grants | Old National Bank,Old National Bank,USA,77,190385,2026-02-19T21:35:29.663857391Z,"['501c3 Status Nonprofit', 'Adobe Creative Cloud WebFonts', 'Angular', 'Brightcove', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Corporate Governance and Regulatory Compliance', 'Episerver Search Navigation', 'Federal Deposit Insurance Corporation', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Hotjar', 'IcoMoon', 'InitiativeS', 'Instagram Follow Button', 'Investor Relations', 'Lenders Cooperative', 'Microdata for Google Shopping', 'Microsoft Azure', 'Monster', 'Nationwide Mortgage Licensing System and Registry', 'Optimizely Recommendations', 'OptinMonster', 'PWA', 'Twitter Ads', 'UTF-8', 'Unbounce', 'University or College', 'Visual Studio', 'Way', 'YouTube']"
shoprocket.co.uk,"Sell from your existing website, social media and more, in minutes - Shoprocket",Shoprocket,GBR,77,68224,2026-02-17T10:33:44.928311945Z,"['Apture Linking Platform', 'Authorize.net', 'Automattic', 'Camp', 'Canva Websites', 'Carrd', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Crisp', 'DAV', 'DC74', 'Discord', 'Fireblade', 'Flow', 'Google Analytics', 'Google Tag Manager', 'Hotjar', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Mixpanel', 'PHP', 'Parcel', 'ProfitWell', 'QUIC', 'RM Education', 'Tailwind CSS', 'Tolt', 'Twitter Ads', 'UTF-8', 'Unbounce', 'Unicorn Platform', 'Webflow', 'YouTube', 'eLand', 'jQuery']"
boostspeed.info,Shopify Speed Optimization App - Website Speedy,,,55,56473,2026-02-15T16:11:02.374292567Z,"['AJAX Libraries API', 'Apache', 'BunnyCDN', 'BunnyCDN General', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Ecwid Ecommerce Shopping Cart', 'Elastic Path', 'GZIP Module', 'Google Cloud DNS', 'Instagram Follow Button', 'PrestaShop', 'QUIC', 'Salesforce Hosted', 'Shopify', 'Tailwind CSS', 'UTF-8', 'Ubuntu', 'Unbounce', 'YouTube', 'jQuery', 'jsDelivr']"
master-toiture.fr,Services de toiture fiables en Vaucluse – Master Toiture,,FRA,72,24943,2026-02-09T20:23:42.049510183Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Commoninja', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Landingi', 'No-Q', 'Paessler', 'Render', 'UTF-8', 'Unbounce']"
smartscreens.ge,SmartScreens – Большие идеи заслуживают больших экранов.,,GEO,82,51760,2026-02-09T09:47:22.896480495Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Automattic', 'BatCache', 'Bunny Fonts', 'Click to Chat for WhatsApp', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Express', 'Fastly', 'FormSubmit', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Gutenberg', 'Header, Footer and Blocks for Elementor', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'IcoMoon', 'Jeg Elementor Kit', 'Jetpack', 'Jetpack Site Accelerator', 'Menu Icons by ThemeIsle', 'Metform Elemento', 'Microsoft Clarity', 'Monster', 'NFOrce Internet', 'Nginx', 'OptinMonster', 'Perl', 'Twitter Ads', 'UTF-8', 'Unbounce', 'WhatsApp Sharing', 'WordPress', 'WordPress Multisite', 'WordPress PopUp', 'WordPress Related Posts', 'WordPress Stats', 'jQuery']"
blakesfunbounce.com,"Bounce House Rental in Jacksonville, Florida | Blake's Event Rentals",Blakes Fun Bounce,,87,19142,2026-02-08T06:16:49.25852038Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudinary', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Kinsta', 'Microdata for Google Shopping', 'Microsoft Ajax Content Delivery Network', 'Microsoft Azure', 'NFOrce Internet', 'PHP', 'QUIC', 'Telerik Controls', 'UTF-8', 'Unbounce', 'Visual Studio', 'WhatsApp Sharing', 'WordPress SEO Structured Data Schema Plugin', 'Yelp Badge', 'YouTube', 'reCAPTCHA']"
fluke-software.com,CalStudio™ Calibration Management Software | Fluke,Fluke Corporation,,67,512420,2026-02-05T20:19:48.863049666Z,"['Adobe Marketing Cloud', 'Akamai Global Host', 'Algolia', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apture Linking Platform', 'Aruba', 'Bazaarvoice', 'Bazaarvoice Curations', 'Bing Cashback', 'Bing Conversion Tracking', 'Brightcove', 'Bug Bounty', 'ByteDance', 'CDN JS', 'Clickagy', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Crisp', 'DemDex', 'DoubleClick Bid Manager', 'Drupal', 'ElementUI', 'Eloqua', 'Facebook Reseller', 'Fastly', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'LinkedIn Pixel', 'Microdata for Google Shopping', 'Microsoft Azure', 'Navattic', 'Netlify', 'New Relic', 'OneTrust Domain Verification', 'OpenX Direct', 'Optimizely Recommendations', 'PHP', 'QUIC', 'Qualtrics Site Intercept', 'SMC', 'Shopify', 'Tailwind CSS', 'Thank You', 'The Trade Desk Direct', 'Twitter Ads', 'UTF-8', 'Unbounce', 'YouTube', 'eLand', 'jsDelivr']"
mobileaccessibility.io,End-to-End Digital Accessibility | Level Access,Level Access,GBR,82,274311,2026-02-05T07:34:09.776652322Z,"['AWS WAF Challenge', 'AdRoll', 'Agoda', 'Akamai Global Host', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'AppNexus Direct', 'Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'Bizible', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'Crowdsignal', 'Cybot', 'DAV', 'DoubleClick Bid Manager', 'ElementUI', 'EmbedPress', 'Facebook Reseller', 'Font Awesome', 'FormSubmit', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Greenhouse', 'Highcharts', 'Hootsuite Badge', 'Hubspot', 'IcoMoon', 'Intercom', 'Jetpack Site Accelerator', 'LinkedIn Pixel', 'LottieFiles', 'MaxCDN', 'Microdata for Google Shopping', 'Microsoft Authentication Library for JavaScript', 'NitroPack', 'PHP', 'Perl', 'Qualified', 'Recruitics', 'Rollbar', 'Sentry', 'Socure', 'StackPath', 'Storyblocks', 'Tailwind CSS', 'Thank You', 'The Trade Desk Direct', 'Twitter Ads', 'UTF-8', 'Unbounce', 'University or College', 'VWO Engage', 'Visual Website Optimizer', 'WP Engine', 'Webflow', 'Wistia', 'WordPress', 'Yandex Hosting', 'YouTube', 'ZoomInfo', 'jsDelivr']"
expopass.tech,"Event Technology Platform for Live, Virtual, & Hybrid Events - Expo Pass",Expo Pass,USA,77,32517,2026-02-05T06:49:48.865703573Z,"['AWS WAF Challenge', 'Active Campaign', 'Amazon', 'Apollo IO', 'Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'CleanTalk Spam Protect', 'Cloudflare', 'Content Delivery Network', 'CookieYes', 'Divi', 'DoubleClick Bid Manager', 'Elegant Themes', 'EmbedPress', 'Facebook Reseller', 'Font Awesome', 'Giphy', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Intercom', 'LinkedIn Pixel', 'Microdata for Google Shopping', 'Monarch Social Sharing Plugin For WordPress', 'Ntent', 'PHP', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Unbounce', 'University or College', 'WP Engine', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery', 'reCAPTCHA']"
onlinemortgagebrokers.org,Online Mortgage Brokers — AI‑Powered Home‑Loan Guidance (2020‑25),,,55,3154,2026-02-05T00:41:41.657602447Z,"['AWS WAF Challenge', 'Apache', 'Apture Linking Platform', 'Better Lead Generation Services', 'Campaign Monitor Widget', 'Google My Business', 'IcoMoon', 'NFOrce Internet', 'PHP', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Unbounce', 'Vector Internet Services']"
