domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
artexpobasel.com,Home | ARTEXPOS | ARTBOX,,CHE,67,87208,2026-04-21T21:38:19.996874115Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'UPS', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
quantumenergygrp.com,Quantum Energy Group – Home Quantum Energy Group,,,60,384,2026-04-21T21:38:19.979892043Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'CloudFront', 'GTranslate', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Tag Manager', 'LiteSpeed', 'PHP', 'QUIC', 'UPS', 'UTF-8', 'WPBakery', 'Woo Themes', 'WordPress', 'WordPress Multisite']"
skyzyne.com,"Skyzyne Blog: Insights on Technology, Design, and Innovation",,CAN,77,2856,2026-04-21T21:36:46.006785254Z,"['Angular', 'Bulma', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Gambling Content', 'IcoMoon', 'Matomo', 'Matomo Tag Manager', 'QUIC', 'Tailwind CSS', 'UPS', 'UTF-8', 'University or College', 'Way', 'eLand', 'jQuery']"
progressivepropertymanagement.com,"Bowling Green KY Real Estate Listings, Homes, Properties, and Lots",,,62,7340,2026-04-21T21:17:19.991962037Z,"['Apache', 'CentOS', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'OpenSSL', 'QUIC', 'Rackspace CDN', 'Subversion', 'Twitter Ads', 'UPS', 'UTF-8']"
cottonwoodlabs.com,Cottonwood LabsCottonwood Labs - full service orthodontic/dental lab,Cottonwood Labs,,67,10632,2026-04-21T21:02:20.019400444Z,"['Alternate Protocol', 'Apture Linking Platform', 'Automattic', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'EmbedPress', 'Font Awesome', 'Foundation', 'FreeCSSTemplates', 'Google Analytics', 'Google Cloud DNS', 'Google Code Prettify', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Jetpack', 'Jetpack Site Accelerator', 'PHP', 'QUIC', 'RM Education', 'Sitelinks Search Box', 'Sucuri Cloudproxy', 'Theme In WP', 'UPS', 'UTF-8', 'WoWonder', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery', 'reCAPTCHA']"
arunagroups.com,"Home | ARUNA GROUP | Construction | Export | Import | Aruna Group Pvt Ltd, 70/B/25, D.S SenanayakeMawatha, Borella, Colombo 08",ARUNA GROUP,LKA,67,132928,2026-04-21T20:53:20.005553695Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Subversion', 'UPS', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
takeheed.org,Home | HEED,,,55,34056,2026-04-21T20:47:20.005299127Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'Fireblade', 'FormSubmit', 'GZIP Module', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Pico CSS', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Thank You', 'UPS', 'UTF-8', 'University or College', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
13thforward.com,13th Forward,,USA,55,25484,2026-04-21T20:39:38.060765601Z,"['Aruba', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Forms', 'Google My Business', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UPS', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
mechanicalpeergroup.com,Mechanical Peer Group,,,67,1888,2026-04-21T19:35:19.997231704Z,"['Alternate Protocol', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'InitiativeS', 'LiteSpeed', 'NFOrce Internet', 'PHP', 'Tailwind CSS', 'UPS', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
epidemic-marketing.com,Denver SEO Company - Best SEO Agency in Denver - BBB A+ Rated,,USA,77,101508,2026-04-21T19:23:19.981982358Z,"['Adult Content', 'Alternate Protocol', 'Angies List', 'Apture Linking Platform', 'Better Lead Generation Services', 'Calendly', 'Clutch', 'Content Delivery Network', 'Crisp', 'DAV', 'Elementor', 'EmbedPress', 'Federal Deposit Insurance Corporation', 'Google Analytics', 'Google Customer Reviews', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hello Elementor', 'KVH', 'LoftLoader', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'Neighborhoods', 'Nginx', 'No-Q', 'PHP', 'Perl', 'Prospective', 'QUIC', 'SMC', 'Squarespace Online Appointment Scheduling', 'Subversion', 'Table Addons for Elementor', 'Tailwind CSS', 'Theme In WP', 'Twitter Ads', 'UPS', 'UTF-8', 'University or College', 'WP Engine', 'WordPress', 'WordPress Multisite', 'Yellow Pages Canada', 'Yelp Badge', 'YouTube', 'jQuery', 'reCAPTCHA']"
