domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
palmeraesthetics.com,"Palmer Aesthetics – Indulge in Personalized Care – Waxing, Massage, and Skincare Treatments Coming Soon!",,USA,65,2497,2026-04-29T12:05:19.997076073Z,"['Alternate Protocol', 'Apache', 'Coming Soon Page', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'GZIP Module', 'Hello Elementor', 'Instagram Follow Button', 'NFOrce Internet', 'PHP', 'Square', 'UTF-8', 'Vagaro', 'WordPress', 'WordPress Multisite', 'jQuery']"
beautyboxsf.com,Home | Beautyboxsf,,,50,36796,2026-04-29T11:53:20.008756326Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Instagram Follow Button', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Subversion', 'UTF-8', 'Vagaro', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
houseoftatiana.com,House of Tatiana Wellness Center - House of Tatiana,,USA,70,77481,2026-04-29T11:29:19.978545276Z,"['3D FlipBook', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Apache', 'Apture Linking Platform', 'Apyl', 'Automattic', 'CloudFront', 'Contact Form Plugin', 'DAV', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google No Site Links Search', 'Instagram Follow Button', 'Jetpack', 'KVH', 'Microdata for Google Shopping', 'No-Q', 'PHP', 'SMC', 'Schema Plugin', 'Slider Revolution', 'Subversion', 'Theme In WP', 'UTF-8', 'Vagaro', 'WPBakery', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'eLand', 'iTracker360', 'jQuery']"
massagemiracleslmt.com,Massage Miracles,,USA,45,1242,2026-04-29T11:20:19.984161319Z,"['ASP.NET Core', 'Adobe Creative Cloud WebFonts', 'Font Awesome', 'Google Cloud DNS', 'Google Font API', 'Rackspace CDN', 'Tailwind CSS', 'Vagaro']"
thefacefairies.com,Home - The Face Fairies | Medical Aesthetics,,,72,37701,2026-04-29T11:14:19.997368248Z,"['AWS WAF Challenge', 'Advertising.com', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'Divi', 'Elegant Themes', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Genesis Blocks', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'KVH', 'Microdata for Google Shopping', 'PHP', 'Pagekit', 'Smush Image Optimization', 'Theme In WP', 'UTF-8', 'Vagaro', 'WP Engine', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
dimodasalon.net,diModa salon,,USA,65,21535,2026-04-29T11:14:19.995313775Z,"['Alternate Protocol', 'Cloudflare', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Enable jQuery Migrate Helper', 'Express', 'Fancybox for WordPress', 'Google My Business', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'KVH', 'Microdata for Google Shopping', 'PHP', 'Schema Plugin', 'Slider Revolution', 'Subversion', 'Theme In WP', 'UTF-8', 'Vagaro', 'WPBakery', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'iDevAffiliate']"
studio3salongr.com,Studio 3 Salon,Studio 3 Salon,,55,25940,2026-04-29T11:05:19.997652491Z,"['Accordion Blocks', 'Aruba', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'IcoMoon', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vagaro', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
strictlystyles.com,Strictly Styles Salon - Professional Hair Care | San Jose,Strictly Styles Barbers,USA,92,25065,2026-04-29T10:53:50.607053583Z,"['Alternate Protocol', 'Complianz', 'Content Delivery Network', 'DuracellTomi Google Tag Manager for WordPress', 'EmbedPress', 'Express', 'Font Awesome', 'GoDaddy', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Kitco', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Site Kit', 'Slider Revolution', 'Sucuri Cloudproxy', 'The7', 'Theme In WP', 'UTF-8', 'Vagaro', 'Visual Composer Ultimate Addons', 'WPBakery', 'Wangsu', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'Yelp Badge', 'YouTube', 'jQuery']"
zorahmedspamd.com,"Med Spa Des Plaines | Botox, Facials, Laser, More | 708 412 4040",,USA,82,2710,2026-04-29T10:47:19.988514399Z,"['Alternate Protocol', 'Content Delivery Network', 'EmbedPress', 'Font Awesome', 'Google Related Website Sites', 'IcoMoon', 'Line2', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'QUIC.cloud', 'Thank You', 'ThemeFusion', 'UTF-8', 'Vagaro', 'WordPress', 'WordPress Multisite']"
luxehairwinona.com,Luxe Hair and Beauty,,,45,30964,2026-04-29T10:47:19.98156842Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'K2F', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vagaro', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
