domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
comforttimecenter.com,Comfort Time Center,,JOR,65,4617,2026-04-27T16:29:20.021435154Z,"['Alternate Protocol', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'LiteSpeed', 'NFOrce Internet', 'PHP', 'Polylang', 'QUIC', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
hardwarehivetech.ae,Hardware Hive Technologies – Resell. Configure. Install,,,55,1588,2026-04-27T16:29:20.019928926Z,"['Ajax Search Lite', 'Alternate Protocol', 'Apture Linking Platform', 'Bunny Fonts', 'Cisco/Arrowpoint Content Service Switch', 'Click to Chat for WhatsApp', 'Content Delivery Network', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'FiboSearch', 'Google Cloud DNS', 'Google Font API', 'Hello Elementor', 'Instagram Follow Button', 'LiteSpeed', 'NFOrce Internet', 'PHP', 'QUIC', 'Tawk', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
hvna.ca,HVNA,,,55,300,2026-04-27T16:29:20.0163517Z,"['Alternate Protocol', 'Animate It', 'Apache', 'Contact Form Plugin', 'EmbedPress', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Instagram Follow Button', 'Nectar Slide Plugin', 'PHP', 'Post Grid', 'Salient', 'Theme In WP', 'UTF-8', 'WPBakery', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCaptcha by BestWebSoft']"
visual.voyage,Visual Voyage – photography site,,,50,638,2026-04-27T16:29:20.008767912Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Contact Form Plugin', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Jetpack', 'PHP', 'QUIC', 'Tailwind CSS', 'Theme In WP', 'To Top', 'UTF-8', 'WP Engine', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Payments', 'WooCommerce Pixel Manager by woopt', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery', 'reCAPTCHA']"
airandvac.com,Medical Air and Vacuum Packages Since 1977 | AirandVac.com,AirandVac.com,USA,77,23250,2026-04-27T16:29:20.006531054Z,"['Alternate Protocol', 'Automattic', 'BatCache', 'Bing Cashback', 'Coming Soon Page', 'Content Delivery Network', 'EmbedPress', 'Fastly', 'Fireblade', 'GenerateBlocks', 'Genesis Blocks', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Jetpack', 'Kinsta', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Popup Maker for Wordpress', 'Soliloquy for WordPress', 'StudioPress', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery', 'reCAPTCHA']"
burlingtonhouseoxford.com,The Burlington House Oxford - B&B Luxury Hotel England,,CAN,77,3611,2026-04-27T16:29:20.005062893Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Column Shortcodes', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Google', 'Google Cloud CDN', 'Line2', 'LiteSpeed', 'LoftLoader', 'PHP', 'QUIC', 'QUIC.cloud', 'TranslatePress', 'Twitter Ads', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Payments', 'WordPress', 'WordPress Multisite']"
buytrustus.com,Bright Buy,,,35,102,2026-04-27T16:29:20.004143759Z,"['Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'EmbedPress', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'PHP', 'Smart Coupons for WooCommerce', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'Variation Swatches for WooCommerce', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery']"
trinitytxk.com,Looking for a Church in Texarkana? - Trinity Baptist Texarkana,Trinity Baptist Church Texarkana,GBR,77,20343,2026-04-27T16:29:20.00205873Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Alternate Protocol', 'App Store', 'Church Center', 'Clicky', 'Cloudflare', 'Content Delivery Network', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Flat Icon', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Hive.co', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'OceanWP', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'WP Engine', 'WP Mobile Menu', 'WPForms', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
trycabinetdiscount.com,USA CABINETS | America's #1 Online Kitchen Cabinet Wholesaler,USA Cabinets,CHL,77,159190,2026-04-27T16:29:19.998011306Z,"['Algolia', 'Alternate Protocol', 'Apture Linking Platform', 'ArvanCloud', 'ByteDance', 'Content Delivery Network', 'Elementor', 'Elementor Custom Skin', 'ElementsKit Elementor', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'FormSubmit', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Hello Elementor', 'Instagram Follow Button', 'Jetpack', 'Lazy Load for WordPress', 'LiteSpeed', 'Microdata for Google Shopping', 'Microsoft Clarity', 'MonsterInsights', 'NFOrce Internet', 'Ntent', 'PHP', 'Pinterest Conversion Tracking', 'QUIC', 'Salesforce Hosted', 'Site Kit', 'Table Addons for Elementor', 'Theme In WP', 'TikTok Conversion Tracking Pixel', 'UTF-8', 'WP Rocket', 'WP Search with Algolia', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Payments', 'WooCommerce Stripe Payment Gateway', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery', 'jsDelivr']"
cloverpackaging.co.uk,Clover Packaging,,GBR,65,23294,2026-04-27T16:29:19.99759532Z,"['3 Products', 'Alibaba Cloud CDN', 'Alternate Protocol', 'Astra Theme', 'Content Delivery Network', 'CookieYes', 'Elementor', 'EmbedPress', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Instagram Follow Button', 'LiteSpeed', 'M247', 'PHP', 'QUIC', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery']"
