domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
dentoluv.com,Dentoluv,,,50,12662,2026-02-18T13:33:02.412983632Z,"['3 Products', 'Alternate Protocol', 'ClickOn', 'Contact Form Plugin', 'Elementor', 'EmbedPress', 'Fireblade', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'K2F', 'PHP', 'QUIC', 'Telegram', 'Theme In WP', 'UTF-8', 'University or College', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooFramework', 'WordPress', 'WordPress Multisite', 'Wordfence', 'XTemos Studio', 'jQuery', 'reCAPTCHA']"
redento.co.za,Redento Events & Hire,,ZAF,70,3898,2026-02-18T04:00:10.702092978Z,"['3 Products', 'Alternate Protocol', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Jetpack', 'LiteSpeed', 'MailChimp for WordPress', 'NFOrce Internet', 'PHP', 'QUIC', 'Site Kit', 'Telegram', 'Theme In WP', 'UTF-8', 'Variation Swatches for WooCommerce', 'WhatsApp Sharing', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooFramework', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'Wordfence', 'XTemos Studio', 'jQuery', 'reCAPTCHA']"
sig.ltd,Stone Industry Group – Worldwide leaders in the Stone Industry UK – Europe – USA,,USA,70,25803,2026-02-17T21:07:32.626583297Z,"['Alternate Protocol', 'Apture Linking Platform', 'Automattic', 'Cloudflare', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Express', 'Flatsome', 'GTranslate', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'IcoMoon', 'Instagram Follow Button', 'Jetpack', 'Jetpack Site Accelerator', 'Line2', 'MailChimp', 'PHP', 'QUIC', 'Sucuri Cloudproxy', 'Tailwind CSS', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WP Rocket', 'Woo Themes', 'WooCommerce Checkout', 'WooCommerce Stripe Payment Gateway', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'Wordfence', 'YouTube', 'jQuery', 'reCAPTCHA']"
gentle-stretching.org,Strong & Stable Stability Ball Workout – SSSBWDOET – TheLifelongWellness.com,,COL,75,34468,2026-02-17T17:15:18.453910095Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'Amazon S3 CDN', 'Amazon WAF Blocked', 'Apache', 'Cloudflare', 'DAV', 'EmbedPress', 'Express', 'Facebook Conversion Tracking', 'Facebook Pixel', 'Facebook Tag API', 'Fireblade', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'NFOrce Internet', 'Nginx', 'PHP', 'Perl', 'QUIC', 'Storyblocks', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'Wordfence', 'jQuery']"
loganit.uk,"Logan IT onsite computer repair and maintenance services – Onsite computer repair support maintenance virus removal and installations in Warwick , Leamington , Stratford upon Avon , Coventry , Henley in Arden , Balsall Common , Claverdon , Southam , Wellesbourne , Kineton and Warwickshire . Telephone – 01926 350906 . Mobile – 07896 242565 . Email mobile@loganit.co.uk",,GBR,65,16291,2026-02-16T23:39:18.487732269Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Ametys', 'Complianz', 'DAV', 'EmbedPress', 'Express', 'Fireblade', 'Google Analytics', 'Google Tag Manager', 'InMotion Hosting', 'Jetpack', 'Nginx', 'PHP', 'Perl', 'Theme In WP', 'Twenty Seventeen', 'Twitter Ads', 'UTF-8', 'UserWay', 'WordPress', 'WordPress Multisite', 'Wordfence', 'jQuery']"
rosenpetal.com,"Online Flower, Cake & Gifts Delivery in India | Rose N Petal - India’s Leading Florist",,IND,77,34602,2026-02-16T15:57:35.527474409Z,"['Alternate Protocol', 'Apture Linking Platform', 'Automattic', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Express', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Play', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Jetpack', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Perl', 'Pico CSS', 'QUIC', 'Slider Revolution', 'Tawk', 'Telegram', 'Thank You', 'The Fresh', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WhatsApp Sharing', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooFramework', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'Wordfence', 'XTemos Studio', 'jQuery', 'reCAPTCHA']"
isudicol.com,ISUDICOL – Auto Spare Parts,,USA,70,4724,2026-02-16T11:31:16.616642025Z,"['Alternate Protocol', 'Click to Chat for WhatsApp', 'Cloudflare', 'EmbedPress', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gtranslate for Wordpress', 'Instagram Follow Button', 'Nginx', 'PHP', 'QUIC', 'Slider Revolution', 'Tawk', 'Telegram', 'Theme In WP', 'UTF-8', 'WPBakery', 'WPForms', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooFramework', 'WordPress', 'WordPress Multisite', 'Wordfence', 'XTemos Studio', 'jQuery', 'reCAPTCHA']"
redknotwears.com,"Redknot Wears – where casual meets comfortable, and fashion meets function.",,,60,149,2026-02-16T10:22:38.015809526Z,"['Alternate Protocol', 'Contact Form Plugin', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Express', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Improved AJAX Login', 'Instagram Follow Button', 'LiteSpeed', 'PHP', 'Pico CSS', 'QUIC', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WP Job Openings', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'Wordfence', 'jQuery', 'reCAPTCHA']"
arcticwarmers.com,Contractor Warming Wraps and Caulk Warmers - Arctic Warmers,,,65,8009,2026-02-15T23:32:00.414868901Z,"['Akismet', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Cloudflare', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Express', 'Fastly', 'Flatsome', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'IcoMoon', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'NFOrce Internet', 'PayPal', 'QUIC', 'Site Kit', 'Smart Coupons for WooCommerce', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'WP Rocket', 'WPForms', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Pixel Manager by woopt', 'WordPress', 'WordPress Multisite', 'Wordfence', 'YouTube', 'reCAPTCHA']"
cp-dubai.com,Hydraulic Hose and Fittings Supplier | Centre Point Hydraulic,,EGY,77,18779,2026-02-15T10:18:17.710444644Z,"['Alternate Protocol', 'Contact Form Plugin', 'EmbedPress', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Analytics Dashboard for WordPress', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Join.chat', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'QUIC', 'Slider Revolution', 'Thank You', 'Theme In WP', 'UTF-8', 'WPBakery', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'Wordfence', 'jQuery', 'reCAPTCHA']"
