domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
petalumadental.net,"Dentist in Petaluma, CA | Dentist Near Me - Petaluma Dental Group",Petaluma Dental Group,VEN,77,55776,2026-04-23T10:08:20.013298554Z,"['Adit Dental Software', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apache', 'Apture Linking Platform', 'Bookform', 'Calendly', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare Web Analytics', 'Contact Form Plugin', 'ContentBox', 'Contento', 'EmbedPress', 'Express', 'Fireblade', 'GTranslate', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'Neighborhoods', 'PHP', 'Perl', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'WP Accessibility', 'WP Rocket', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
ada-one.com,ADA One: Your ONE Source for Professional ADA Guidance,,DEU,82,1549,2026-04-23T09:24:24.007973337Z,"['Alternate Protocol', 'Apache', 'EmbedPress', 'GZIP Module', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'UTF-8', 'University or College', 'WP Accessibility', 'WordPress', 'WordPress Multisite']"
acupuncturebyshannon.com,Towson Acupuncture | Acupuncture by Shannon,Acupuncture By Shannon,USA,77,20748,2026-04-23T09:14:03.343977612Z,"['AccessPress Themes', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'CookieYes', 'Ditty News Ticker', 'Elfsight', 'Embed Any Document', 'EmbedPress', 'Ethy', 'Express', 'GeneratePress Company', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Microdata for Google Shopping', 'Microsoft Authentication Library for JavaScript', 'PHP', 'Pleroma', 'SiteOrigin', 'SiteOrigin Panels', 'Sitelinks Search Box', 'Sucuri Cloudproxy', 'Sucuri Firewall', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WP Accessibility', 'Wangsu', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery', 'myStickymenu']"
roguewinterfest.org,"Home - Rogue Winterfest - Grants Pass, Oregon",,,60,3525,2026-04-23T08:48:06.413323583Z,"['Adult Content', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'EmbedPress', 'GoDaddy', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Nectar Slide Plugin', 'PHP', 'QUIC', 'Salient', 'Theme In WP', 'UTF-8', 'WP Accessibility', 'WPBakery', 'Wangsu', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
skybridgecare.org,Youth Empowerment Programs - Teen Support Foundation,SKYBRIDGE CARE For the Youth America Foundation Inc.,USA,82,46856,2026-04-23T08:41:19.985266644Z,"['501c3 Status Nonprofit', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Beaver Builder Lite', 'Cloudflare', 'Content Delivery Network', 'Contento', 'EmbedPress', 'Event Tickets for Wordpress', 'GitHub Hosting', 'GiveWP', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Gravity', 'InitiativeS', 'Max Mega Menu Pro', 'Microdata for Google Shopping', 'PHP', 'Pagekit', 'PayPal Adaptive Payments', 'Schema Plugin', 'SiteW', 'The Events Calendar', 'UTF-8', 'University or College', 'Vimeo', 'WP Accessibility', 'WP Rocket', 'Wangsu', 'Website Tonight', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'YouTube']"
gracebiblehomosassa.org,"Grace Bible Church of Homosassa Springs, Florida",Grace Bible Church of Homosassa Springs,ZAF,82,5053,2026-04-23T08:29:19.98627307Z,"['Alternate Protocol', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Fastly', 'Google Analytics', 'Google Calendar', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'LiteSpeed', 'Microdata for Google Shopping', 'MonsterInsights', 'NFOrce Internet', 'Phlox', 'QUIC', 'QUIC.cloud', 'UTF-8', 'WP Accessibility', 'WPFront Scroll Top', 'WordPress', 'WordPress Multisite', 'Yelp Badge', 'YouTube', 'eLand']"
wmcproduction.store,Home - WMC,WMC,,62,10069,2026-04-23T08:23:20.02061627Z,"['Alternate Protocol', 'Amazon', 'Amazon S3 CDN', 'Automattic', 'BatCache', 'Contact Form Plugin', 'Content Delivery Network', 'Donorbox', 'Elementor', 'EmbedPress', 'Eventbrite', 'Fastly', 'Google Related Website Sites', 'Gtranslate for Wordpress', 'Gutenberg', 'InitiativeS', 'Instagram Follow Button', 'JetElements', 'Jetpack', 'Jetpack Site Accelerator', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'Perl', 'Storyblocks', 'Twitter Ads', 'UTF-8', 'Varia', 'Vue.js', 'WP Accessibility', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery']"
tpsthayer.com,Tax and Accounting Services | Houston CPA Firm | Tps Thayer,Tps Thayer,USA,82,38966,2026-04-23T08:11:20.021409723Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Autoptimize', 'Cloudflare', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Endurance Page Cache', 'Fastly', 'GoDaddy', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'KVH', 'Microdata for Google Shopping', 'PHP', 'Porto Wordpress', 'Premium Addons for Elementor', 'QUIC', 'Theme In WP', 'UTF-8', 'WP Accessibility', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery']"
boyesenperio.com,Periodontal Office in Littleton CO - Boyesen Periodontics,,,72,22293,2026-04-23T07:59:20.025893837Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'Amazon WAF Blocked', 'Apture Linking Platform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'PHP', 'Popup Maker for Wordpress', 'Schema Plugin', 'Thank You', 'UTF-8', 'University or College', 'WP Accessibility', 'WP Engine', 'WP Rocket', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts']"
goderichairport.ca,Home - Goderich Airport,Goderich Airport,USA,75,4964,2026-04-23T07:53:19.980254802Z,"['Alternate Protocol', 'BatCache', 'Content Delivery Network', 'Divi', 'Elegant Themes', 'EmbedPress', 'Fastly', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Jetpack', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Theme In WP', 'UTF-8', 'WP Accessibility', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'eLand', 'jQuery', 'reCAPTCHA']"
celebrationintheoaks.com,Celebration in the Oaks,City Park,USA,77,18689,2026-04-23T07:38:20.003190045Z,"['Alternate Protocol', 'Apture Linking Platform', 'BlankSlate', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'EmbedPress', 'Fancybox for WordPress', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'Pagekit', 'Perl', 'Sitelinks Search Box', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WP Accessibility', 'WP Engine', 'WordPress', 'WordPress Multisite', 'jQuery', 'jsDelivr']"
thevclf.org,The Valley Community Legal Foundation (VCLF) |,,USA,80,3645,2026-04-23T06:43:16.975224584Z,"['Alternate Protocol', 'Cloudflare', 'Contact Form Plugin', 'Content Delivery Network', 'DAV', 'Divi', 'Elegant Themes', 'EmbedPress', 'GoDaddy', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'NFOrce Internet', 'PHP', 'The Events Calendar', 'Theme In WP', 'UTF-8', 'WP Accessibility', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
