domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
smallbusinesstools.org,SmallBusiness Tools - Best Small Business Tools You Don't Want to Miss,,,55,139100,2026-01-26T16:56:51.550939811Z,"['10to8', 'AWS WAF Challenge', 'Adapex Publisher', 'Alternate Protocol', 'Amazon Link Enchancer', 'Amazon Widgets', 'Apture Linking Platform', 'Asana', 'Autodesk', 'Basecamp', 'Better Lead Generation Services', 'Bookafy', 'Booking Affiliate', 'Brevo', 'Calendly', 'Camp', 'CapsuleCRM', 'ClickUp', 'Cloudflare', 'Cloudinary', 'Constant Contact', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'DAV', 'Doodle', 'Express', 'Federal Deposit Insurance Corporation', 'Fireblade', 'FreshBooks', 'Freshworks CRM', 'GetResponse', 'Glassix', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Grammarly', 'Hootsuite Badge', 'InitiativeS', 'Investor Relations', 'Jasper', 'K2F', 'MRI Software', 'Microsoft 365', 'Mosyle', 'NFOrce Internet', 'Nationwide Mortgage Licensing System and Registry', 'OSS CDN', 'On The Map', 'OpenAI', 'Oracle Cloud', 'Paperbell', 'Perl', 'Pipedrive', 'Plausible Analytics', 'Prebid', 'Privado.ai', 'QUIC', 'RM Education', 'Rentlinx', 'Resova', 'Resy', 'RightCapital', 'Rush', 'SE Ranking', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'Semrush', 'Square', 'Tagembed', 'Teamwork', 'Tenant Turner', 'Thomson Reuters Corporate Solutions', 'Trello', 'Turner CDN', 'University or College', 'Vector Internet Services', 'Vercel', 'Wave', 'Wrike', 'Xero', 'monday.com', 'shadcn ui']"
studiofiftyfourclubhouse.com,103.5 KTU - Top Music & News from The Beat of NY,,USA,72,53748,2026-01-26T15:07:43.436897501Z,"['AWS WAF Challenge', 'Amazon Associates Affiliate Shop', 'Amazon CloudFront', 'Amazon WAF Blocked', 'Apture Linking Platform', 'CloudFront', 'Content Delivery Network', 'Contento', 'DAV', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'Fastly', 'GTranslate', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'GoFundMe', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Gravity', 'GrubHub', 'IcoMoon', 'Instagram Follow Button', 'New Relic', 'OneTrust Domain Verification', 'Outbrain Direct', 'Prebid', 'Submittable', 'Subversion', 'Twitter Ads', 'UTF-8', 'University or College', 'Way', 'Wrike', 'Yahoo Finance Widget', 'YouTube', 'reCAPTCHA']"
sierramanagementgroup.com,SMG – Sierra Management Group,,AUS,65,22175,2026-01-24T01:31:30.716961254Z,"['Alternate Protocol', 'Apache', 'Corporate Governance and Regulatory Compliance', 'EmbedPress', 'Font Awesome', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Ninja Forms', 'On The Map', 'PHP', 'Subversion', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WP Google Maps', 'WordPress', 'WordPress Multisite', 'Wrike', 'jQuery']"
therockofnewjersey.com,Q104.3 - New York's Classic Rock,,USA,72,72608,2026-01-22T18:04:43.429087623Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon Associates Affiliate Shop', 'Amazon CloudFront', 'Amazon WAF Blocked', 'Amazon Widgets', 'Apture Linking Platform', 'Aruba', 'CloudFront', 'Content Delivery Network', 'Contento', 'DAV', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'Fastly', 'Fireblade', 'GTranslate', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Gravity', 'IcoMoon', 'Instagram Follow Button', 'Linktree', 'New Relic', 'OneTrust Domain Verification', 'Oracle Cloud', 'Outbrain Direct', 'Prebid', 'QUIC', 'Show.co', 'Submittable', 'Subversion', 'Twitter Ads', 'UTF-8', 'University or College', 'Way', 'Wrike', 'YouTube', 'eLand', 'reCAPTCHA']"
gluecode.ai,GlueCode.Ai home - GlueCode.Ai - Dark matter of the enterprise software universe,,FRA,70,400858,2026-01-22T10:32:16.944915877Z,"['AI Log', 'Alternate Protocol', 'Apache', 'Asana', 'Bulma', 'CDN JS', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'EmbedPress', 'Essentials Theme', 'GZIP Module', 'Giphy', 'GitHub Hosting', 'Go Pricing', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'MonsterInsights', 'Netsuite Site Builder', 'Nginx', 'PHP', 'PWA', 'Parallels Plesk Panel', 'QUIC', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'ScaleWay', 'Tailwind CSS', 'Theme In WP', 'Trello', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'WPBakery', 'Walmart', 'Way', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'Wrike', 'YouTube', 'jQuery', 'jsDelivr', 'monday.com']"
markhursh.com,Mark Hursh | Digital Experience Leader,,JPN,82,141564,2026-01-21T11:43:43.44114626Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon Widgets', 'Content Delivery Network', 'Figma', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'OpenAI', 'QUIC', 'Qualtrics Site Intercept', 'Quantum Metric', 'Rush', 'Semrush', 'UTF-8', 'Vercel', 'Web3Forms', 'Wrike']"
rejoicetv.org,Rejoice in the Lord,,USA,67,1587,2026-01-16T21:06:28.922542369Z,"['Amazon Widgets', 'AutoComplete', 'Bulma', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Tailwind CSS', 'UTF-8', 'University or College', 'Wrike']"
farikabeton.co.id,Home | Farika Beton,"FARIKA BETON, PT",IDN,72,148669,2026-01-16T07:34:36.126452034Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'SiteW', 'Subversion', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'Wrike', 'mlcom']"
keepproductive.com,Best Productivity Tools & Software Deals (750+) | Tool Finder,,,67,12272,2026-01-15T00:01:43.435862813Z,"['1Password', 'AI Log', 'Alternate Protocol', 'Angular', 'App Store', 'Apture Linking Platform', 'Bing Cashback', 'ClickUp', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Cloudinary', 'Content Delivery Network', 'DAV', 'DoubleClick Bid Manager', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Headless UI', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Next.js', 'Notion', 'Ntent', 'Perl', 'QUIC', 'Reclaim AI', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vercel', 'Wrike', 'YouTube', 'jsDelivr', 'monday.com', 'shadcn ui']"
thewordmerc.com,Word Merc Marketing,,,62,82889,2026-01-14T17:14:47.2602056Z,"['Aruba', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Hootsuite Badge', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'Wrike', 'eLand']"
