domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
meritoriousconsultants.com,Meritorious Consultants LLC - Home,,USA,77,7140,2026-05-24T20:20:19.971982031Z,"['Booking Affiliate', 'Calendly', 'Corporate Governance and Regulatory Compliance', 'Expensify', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Gusto', 'Housecall Pro', 'Nginx', 'QUIC', 'Tailwind CSS', 'Trustpilot Reviews for WordPress', 'UTF-8', 'Ubuntu', 'Way', 'Xero', 'YouTube', 'shadcn ui']"
nbcfinancial.com.au,NBC Financial Services,,AUS,60,8186,2026-05-24T20:06:26.037485934Z,"['Alternate Protocol', 'Contact Form Plugin', 'Easy Facebook Like Box', 'EmbedPress', 'Facebook Login', 'Facebook Reseller', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'IcoMoon', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Parallels Plesk Panel', 'Schema Plugin', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'Visual Composer Ultimate Addons', 'WPBakery', 'WordPress', 'WordPress Multisite', 'Xero', 'jQuery', 'reCAPTCHA']"
tracexero.com,TraceXero,,IND,62,600,2026-05-24T19:29:56.753095938Z,"['Apture Linking Platform', 'Content Delivery Network', 'Instagram Follow Button', 'Next.js', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vercel', 'Xero', 'shadcn ui']"
mistable.com,"Horse Trainer Communication Software, Syndication, Studs, Mobile App",,AUS,72,18719,2026-05-24T14:20:02.401107188Z,"['Amazon Link Enchancer', 'Amazon Widgets', 'App Store', 'Cornerstone', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Instagram Follow Button', 'Laravel Livewire', 'Microsoft Clarity', 'Nginx', 'PWA', 'QUIC', 'SKWID', 'Smart App Banner', 'SnapWidget', 'Tailwind CSS', 'UTF-8', 'Xero', 'Zendesk Embeddables', 'Zendesk Guide', 'reCAPTCHA']"
oncloud9tax.co.uk,Low Cost Small Business Accounting Made Easy - On Cloud9 Tax,On Cloud9 Tax,GBR,82,22403,2026-05-24T11:37:10.337208698Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'FormSubmit', 'FreeAgent', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'UTF-8', 'WPForms', 'WordPress', 'WordPress Multisite', 'Xero', 'eLand', 'jQuery', 'reCAPTCHA']"
gabaccountants.co.nz,GAB Chartered Accountants – Accounting and Tax Services,,NZL,70,17849,2026-05-24T11:37:10.297075533Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Cloudflare', 'Cloudflare CDN', 'EmbedPress', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'PHP', 'Theme In WP', 'Twenty Seventeen', 'UTF-8', 'WordPress', 'WordPress Multisite', 'Xero', 'jQuery']"
empoweraccounting.co.nz,Xero Accounting Services | Small Business Accountants Palmerston North,,,77,17117,2026-05-24T11:22:20.270199566Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Apache', 'Contact Form Plugin', 'Corporate Governance and Regulatory Compliance', 'EmbedPress', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Microdata for Google Shopping', 'PHP', 'Theme In WP', 'Twenty Twenty', 'UTF-8', 'UberMenu', 'WordPress', 'WordPress Multisite', 'Xero', 'jQuery', 'reCAPTCHA']"
optifinance.co.uk,Bookkeeping Services - OptiFinance Bookkeeping Services,OptiFinance Bookkeeping Services,GBR,82,20730,2026-05-24T09:03:52.61871138Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Complianz', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'MonsterInsights', 'NFOrce Internet', 'PHP', 'PixelYourSite', 'QUIC', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'Xero', 'jQuery']"
timothykelliher.com,Chartered Accountant | Europe | Timothy Kelliher FCA,Timothy Kelliher Chartered Accountant,IRL,72,92701,2026-05-23T22:00:54.44592054Z,"['Adult Content', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'BunnyCDN General', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Microdata for Google Shopping', 'Microsoft 365', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Thank You', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'Xero', 'eLand', 'mlcom']"
apples.live,Apples AI - AI Systems for Small Business,,USA,77,315297,2026-05-23T19:38:19.97827043Z,"['Airtable', 'Amazon Link Enchancer', 'Apture Linking Platform', 'Asana', 'Automattic', 'Better Lead Generation Services', 'Calendly', 'ClickUp', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Discord', 'ECAL', 'FreshBooks', 'Freshworks CRM', 'GitHub Hosting', 'Google', 'Google Calendar', 'Google Cloud CDN', 'Google My Business', 'Guesty', 'Housecall Pro', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Teams', 'NFOrce Internet', 'Next.js', 'Notion', 'Pipedrive', 'Pleroma', 'QUIC', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'SendGrid Widget', 'Shopify', 'Slack', 'Square', 'Trello', 'UTF-8', 'Vercel', 'Wave', 'Woo Themes', 'Xero', 'Yelp Badge', 'YouTube', 'Zendesk Embeddables', 'Zoom Video Conferencing', 'monday.com']"
