domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
thenosefamily.com,The Nose Family - The Nose Family,The Nose Family,USA,75,26560,2026-01-31T11:30:14.907278216Z,"['Agoda', 'Alternate Protocol', 'Apache', 'Coming Soon Page', 'EmbedPress', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Hive.co', 'Line2', 'LiteSpeed', 'Microdata for Google Shopping', 'Perl', 'Phew', 'Popup Maker for Wordpress', 'QUIC', 'QUIC.cloud', 'Twitter Ads', 'UTF-8', 'Woo Themes', 'WooCommerce Payments', 'WordPress', 'WordPress Multisite', 'YCharts', 'YooTheme', 'YouTube']"
gasflaringsolutions.com,"Clean Renewable Energy, Natural Source | Gas Flaring Solutions","Gas Flaring Solutions, LLC.",USA,77,159901,2026-01-20T19:52:43.440115976Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'SiteW', 'Subversion', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'YCharts', 'Yahoo Finance Widget', 'YouTube', 'mlcom']"
masconmedical.com,Customized Global Sourcing Services - Mascon,"Mascon, Inc.",PHL,77,16247,2026-01-02T13:50:36.60415572Z,"['Alternate Protocol', 'Apache', 'Apture Linking Platform', 'Elementor', 'EmbedPress', 'FreeCSSTemplates', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'HappyAddons', 'IcoMoon', 'Inspiro Theme', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'OpenSSL', 'PHP', 'Premium Addons for Elementor', 'Tailwind CSS', 'To Top', 'UTF-8', 'Vimeo', 'WPForms', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YCharts']"
maddycharts.com,Maddycharts Shop – We sale Ankicolemandesigns Products,,POL,65,31893,2025-12-23T15:55:38.344503359Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'EmbedPress', 'Express', 'Flatsome', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'IcoMoon', 'Instagram Follow Button', 'Jetpack', 'NFOrce Internet', 'Nginx', 'PHP', 'PayPal', 'PayPal Adaptive Payments', 'QUIC', 'Tailwind CSS', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Payments', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YCharts', 'jQuery']"
vantagefdi.com,Vantage FDI | Cross-Border Investment Advisors,,SGP,77,144786,2025-12-20T12:22:32.742654428Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Atlas Pickup Points', 'Coming Soon Page', 'Content Delivery Network', 'Cornerstone', 'DAV', 'Endis', 'Express', 'Fastly', 'Fastly CDN', 'Fireblade', 'GZIP Module', 'Gambling Content', 'GitHub Hosting', 'Google Related Website Sites', 'Harbor', 'InitiativeS', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'QUIC', 'SMC', 'SiteW', 'Sitelinks Search Box', 'UTF-8', 'Underscores', 'Vector Internet Services', 'Wix', 'Wix Media', 'YCharts', 'YouTube', 'eLand', 'mlcom']"
sharkycharts.com,Sharky Charts | Trade Like The Pro's With With Large Funded Accounts |,,,55,6325,2025-12-18T15:10:32.763455645Z,"['Alternate Protocol', 'Coming Soon Page', 'Content Delivery Network', 'Divi', 'Elegant Themes', 'EmbedPress', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Nginx', 'PHP', 'Parallels Plesk Panel', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YCharts', 'jQuery']"
philstrazzulla.com,Phil Strazzulla's Blog – Sharing what I've learned,,GBR,65,30545,2025-12-18T05:35:18.64536347Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon Widgets', 'Apache', 'Apture Linking Platform', 'EmbedPress', 'Free Call', 'GZIP Module', 'Gambling Content', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'MailChimp for WordPress', 'PHP', 'QUIC', 'The Deck', 'Theme In WP', 'Twenty Seventeen', 'Twitter Ads', 'UTF-8', 'University or College', 'Wistia', 'WordPress', 'WordPress Multisite', 'YCharts', 'jQuery']"
how2makeamillion.com,how2makeamillion.com,,USA,77,27108,2025-12-12T09:07:56.051031634Z,"['AWS WAF Challenge', 'Add to Any', 'Alternate Protocol', 'Apture Linking Platform', 'Contact Form Plugin', 'DAV', 'EmbedPress', 'Express', 'InitiativeS', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'PopularFX', 'QUIC', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'YCharts', 'eLand', 'jQuery']"
startupjoblist.com,StartupJobList | Open Salary Edition,,USA,77,410364,2025-12-11T11:28:56.103293956Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Adult Content', 'Apache', 'Apture Linking Platform', 'Avature', 'Baidu Cloud', 'Beautiful.ai', 'Booking Affiliate', 'Breezy HR', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'DAV', 'Express', 'Fireblade', 'Gem', 'GitHub Hosting', 'Google Forms', 'Google My Business', 'Greenhouse', 'Hightouch', 'InitiativeS', 'Lever', 'Microdata for Google Shopping', 'Next.js', 'Notion', 'Python', 'QUIC', 'Radix UI', 'Tailwind CSS', 'UTF-8', 'University or College', 'Vector Internet Services', 'Vercel', 'WebAssembly', 'Workday', 'YCharts', 'shadcn ui']"
ycharts.com,YCharts - Financial Research and Proposal Platform,,USA,77,200183,2025-12-01T03:27:46.367250111Z,"['AWS WAF Challenge', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'CookieYes', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'HubSpot Conversations', 'Hubspot', 'Instagram Follow Button', 'LinkedIn Insights', 'LinkedIn Pixel', 'Nginx', 'QUIC', 'Salesforce Experience Cloud', 'Storyblocks', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YCharts', 'YouTube', 'comScore', 'eLand', 'jsDelivr']"
excel-dna.net,Free and easy .NET for Excel | Excel-DNA,,CHN,77,109458,2025-11-28T10:15:01.530580803Z,"['Alternate Protocol', 'Bench', 'CCSI', 'Content Delivery Network', 'Docusaurus', 'Fastly', 'Financial Services Guide', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'KVH', 'No-Q', 'Perl', 'QUIC', 'SMC', 'Tailwind CSS', 'UTF-8', 'Visual Studio', 'YCharts', 'YouTube']"
henrylabs.com,henrylabs : information & relationships,,,45,6000,2025-11-18T07:50:05.012018875Z,"['Apache', 'Apture Linking Platform', 'Drupal', 'GZIP Module', 'Google Analytics', 'UTF-8', 'University or College', 'YCharts']"
maverickinvestors.com,"Maverick Investors Rally Site | An investment blog by Mal Spooner, veteran money manager and author of: A Maverick Investors Guidebook",,CAN,72,59737,2025-11-18T01:26:05.020986524Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Automattic', 'Automattic Direct', 'Clicky', 'Content Delivery Network', 'DAV', 'Gambling Content', 'Global Privacy Control', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Jetpack', 'Jetpack Site Accelerator', 'Nginx', 'Nomics', 'Perl', 'Q4Web', 'Tailwind CSS', 'TradingView', 'Twitter Ads', 'US Privacy User Signal Mechanism', 'UTF-8', 'WP Lightbox 2', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YCharts']"
swaggycharts.com,Home - SwaggyCharts | MT5,SwaggyCharts | MT5,,67,13921,2025-11-15T12:44:24.364075483Z,"['Alternate Protocol', 'Astra Theme', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'YCharts', 'jQuery']"
bgkeithley.com,"Thoughts on Alaska Oil & Gas | News & Commentary on Alaska Oil, Gas & Fiscal Policy from Brad Keithley",,USA,77,68287,2025-11-15T00:30:49.797629872Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Automattic', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Fireblade', 'Google My Business', 'Hive.co', 'InitiativeS', 'Jetpack', 'Jetpack Site Accelerator', 'Landis Holdings', 'Medium', 'Nginx', 'Oil-Price', 'Oracle Cloud', 'Perl', 'QUIC', 'Share Link', 'Show.co', 'Tailwind CSS', 'Thank You', 'Twitter Ads', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YCharts', 'YouTube']"
souldirected.com,Pathology and the Study of Paths,,USA,77,27540,2025-11-06T20:04:14.427978374Z,"['AWS WAF Challenge', 'Amazon CloudFront', 'CloudFront', 'Constant Contact', 'GZIP Module', 'Gambling Content', 'Google Analytics', 'Google Flights Conversion Tracking', 'ISO/IEC 8859', 'Nginx', 'Twitter Ads', 'UTF-8', 'YCharts']"
