domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
securecyber-it.com,Secure Cyber IT,,USA,65,48804,2026-01-29T21:16:48.873718646Z,"['Calendly', 'Dialpad', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Line2', 'PWA', 'Rackspace Cloud Servers', 'UTF-8', 'Wangsu', 'Website Tonight', 'Yellow Messenger']"
dbplko.com,dbplko – Diamond Beverages Pvt. Limited,,IND,65,17627,2026-01-29T18:50:32.189733832Z,"['AJAX Libraries API', 'Alternate Protocol', 'Apache', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Contact Form Plugin', 'EmbedPress', 'Font Awesome', 'Google Cloud DNS', 'PHP', 'StackPath', 'Theme In WP', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'Yellow Messenger', 'jQuery']"
neuraltimes.live,"NeuralTimes - AI News, Models, Research & Industry Intelligence",,IND,77,18160,2026-01-29T04:58:43.441407038Z,"['Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'InitiativeS', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PWA', 'Tailwind CSS', 'Twitter Ads', 'Yellow Messenger', 'YouTube']"
investspherewealth.com,Investsphere Wealth | No 1 Financial Product Distributor in Pune | AMFI registered Mutual Fund Distributor,,IND,72,16527,2026-01-27T19:27:12.105522872Z,"['AJAX Libraries API', 'Alternate Protocol', 'App Store', 'Corporate Governance and Regulatory Compliance', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Play', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'LiteSpeed', 'PHP', 'QUIC', 'Tailwind CSS', 'TradingView', 'Twitter Ads', 'UTF-8', 'WhatsApp Sharing', 'Yellow Messenger', 'YouTube', 'jQuery']"
trringme.com,WhatsApp business solution | Omnichannel platform for businesses,,,67,167081,2026-01-26T08:15:34.302035624Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Bulma', 'CDN JS', 'Calendly', 'Cloudflare', 'Cloudflare CDN', 'Formspree', 'Gambling Content', 'GetResponse', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'QUIC', 'Salesforce Hosted', 'Tailwind CSS', 'WhatsApp Sharing', 'WordPress', 'Yellow Messenger']"
caminorealenviro.com,Camino Real Landfill | Disposal | Dump,,USA,82,113348,2026-01-22T01:40:23.24105142Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Animate It', 'App Store', 'Better Lead Generation Services', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Express', 'Fireblade', 'GTranslate', 'Gambling Content', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Play', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Intellimize', 'Perl', 'Tailwind CSS', 'Twitter Ads', 'University or College', 'Vimeo', 'WF Cookie Consent', 'Yellow Messenger', 'YouTube']"
powersight.io,"Powersight – Power Your Business with Conversational AI Solutions – We are a global technology provider that specializes in implementing advanced Conversational AI technologies for enterprises. Our solutions and expertise in deploying Gen AI, Chat, and Voice Automation can positively influence every stage of the conversational journey of your customer.",,IND,77,45588,2026-01-22T00:15:56.031777348Z,"['AWS WAF Challenge', 'Apache', 'Bookform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'PHP', 'Tailwind CSS', 'UTF-8', 'Wangsu', 'Yellow Messenger', 'jsDelivr']"
bluecrush.ai,BlueCrush AI | AI advisor,Bluecrush.ai,,67,393393,2026-01-21T03:16:43.435013903Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Better Lead Generation Services', 'Boost.ai', 'Calendly', 'Cisco/Arrowpoint Content Service Switch', 'Content Delivery Network', 'DAV', 'Dialpad', 'Express', 'Fastly', 'Fastly CDN', 'Fireblade', 'GZIP Module', 'Google Related Website Sites', 'InitiativeS', 'Instagram Follow Button', 'Kore.ai', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'SiteW', 'Sitelinks Search Box', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'Yellow Messenger', 'YouTube', 'eLand', 'mlcom']"
bharatceos.com,BharatCEOs,,IND,60,6455,2026-01-21T00:52:43.432716593Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Debian', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Gambling Content', 'IcoMoon', 'PHP', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'Yellow Messenger', 'jQuery']"
anmolchhabra.cv,Anmol Chhabra,,IND,72,65600,2026-01-14T14:16:43.43675403Z,"['Amazon S3 CDN', 'Content Delivery Network', 'GitHub Hosting', 'Headless UI', 'Next.js', 'Python', 'SMC', 'Storyblocks', 'UTF-8', 'University or College', 'Vercel', 'Yellow Messenger']"
bngltd.com,Home - BNG Advisors,BNG Advisors,USA,65,16837,2026-01-14T13:47:43.13797152Z,"['Alternate Protocol', 'Elementor', 'EmbedPress', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Hello Elementor', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'Smart Slider 3', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'Yellow Messenger', 'eLand', 'jQuery']"
