domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
docdx.com,Trusted Primary Care in Rockville MD | DocDx Medical Clinic,,FRA,82,7636,2026-04-12T18:13:46.729477491Z,"['Alternate Protocol', 'Apture Linking Platform', 'Elementor', 'Elementor Addon Elements', 'EmbedPress', 'Essential Addons for Elementor', 'GZIP Module', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Hello Elementor', 'Instagram Follow Button', 'InvoiceSherpa', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'QUIC', 'Sherpa', 'Sitelinks Search Box', 'Table Addons for Elementor', 'UTF-8', 'WP Advanced Ads', 'WP Rocket', 'WordPress', 'WordPress Ad Manager and AdSense Ads', 'WordPress Multisite', 'YouTube', 'ZocDoc', 'reCAPTCHA']"
bilodeaudental.com,Dentist in Delray Beach | Delray Beach Dentist | Cosmetic Dentist Delray Beach,,USA,77,9776,2026-04-12T18:11:19.98303005Z,"['Angular', 'Coming Soon Page', 'Express', 'Facebook Pixel', 'Facebook Tag API', 'Fastly', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'QUIC', 'UTF-8', 'UserWay', 'ZocDoc']"
clearsmilesdental.com,Clear Smiles Dental | Dental Care | Broward County,Clear Smiles Dental | Offices across South Florida | Pembroke | Pompano | Margate | Weston,USA,82,8648,2026-04-12T17:11:12.015291619Z,"['Alternate Protocol', 'Apache', 'CDN JS', 'CallRail', 'Cloudflare', 'Cloudflare CDN', 'DuracellTomi Google Tag Manager for WordPress', 'ElementUI', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'Popup Maker for Wordpress', 'Tailwind CSS', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'ZocDoc', 'jQuery', 'reCAPTCHA']"
bryantparkdental.com,Dental Wellness | Bryant Park Dental | New York,Bryant Park Dental,USA,77,91788,2026-04-12T15:20:19.9872614Z,"['Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Cornerstone', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'Yelp Badge', 'ZocDoc', 'mlcom']"
promontdental.com,Promont Dental,,USA,65,132517,2026-04-12T11:20:07.538595846Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'Contento', 'Express', 'Fireblade', 'FormSubmit', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'Phew', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'University or College', 'WordPress SEO Structured Data Schema Plugin', 'ZocDoc', 'eLand']"
draae.com,"Allergy, Asthma & Eczema Care of Queens in Forest Hills, NY",,USA,77,37528,2026-04-12T10:44:20.007887783Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Authorize.net', 'Book Direct', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'ElementUI', 'Fireblade', 'GTranslate', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Nuxt.js', 'UTF-8', 'ZocDoc', 'shadcn ui']"
spinemednj.com,Home - Spine Surgery,Spine Medicine and Surgery NJ,NOR,77,45195,2026-04-12T09:59:19.981473183Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'DuracellTomi Google Tag Manager for WordPress', 'Elementor', 'EmbedPress', 'Fireblade', 'GoDaddy', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Hello Elementor', 'Hotjar', 'Instagram Follow Button', 'Kitco', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Site Kit', 'Theme In WP', 'UTF-8', 'Unlimited Elements For Elementor', 'Wangsu', 'Weglot', 'WordPress', 'WordPress Multisite', 'ZocDoc', 'jQuery']"
health-harmony-psychiatry.com,Health&Harmony LLC,,USA,82,3936,2026-04-12T09:49:30.841670545Z,"['Alternate Protocol', 'GZIP Module', 'Google Analytics', 'Google Conversion Tracking', 'Google Tag Manager', 'Nginx', 'Plausible Analytics', 'QUIC', 'UTF-8', 'Webador', 'ZocDoc']"
rentonpsychiatry.com,Alternative Depression Treatment - Seattle - Eastside Psychiatry TMS,,USA,77,20712,2026-04-12T08:37:19.871340591Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'EmbedPress', 'Font Awesome', 'Formidable Pro Form', 'Google Analytics', 'Google Conversion Tracking', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'Popup Maker for Wordpress', 'ThemeFusion', 'UTF-8', 'University or College', 'WP Engine', 'WordPress', 'WordPress Multisite', 'YouTube', 'ZocDoc', 'jQuery']"
truetolifewellness.com,"Acupuncture in Freeport, Maine | True to Life Wellness",,USA,77,38637,2026-04-12T07:08:20.011458207Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Contact Form Plugin', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'KVH', 'Microdata for Google Shopping', 'PHP', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'ZocDoc']"
