domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
soach.net,SOA-Spirit of Achievement |,,SAU,65,1934,2026-02-13T22:34:24.937992759Z,"['Alternate Protocol', 'Contact Form Plugin', 'Divi', 'Elegant Themes', 'EmbedPress', 'Font Awesome', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'LiteSpeed', 'PHP', 'QUIC', 'Smart Slider 3', 'Tailwind CSS', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'Zoho Books', 'eLand', 'jQuery', 'reCAPTCHA']"
palomats.com,Paloma Technologies IT Solutions,,USA,60,5180,2026-02-13T11:08:23.920961716Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Barracuda Web App Firewall', 'GZIP Module', 'Perl', 'YouTube', 'Zoho Books']"
thebouncegroup.com,The Bounce Group - The Bounce Group,,,72,39709,2026-02-11T02:21:25.211534255Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'Divi', 'Elegant Themes', 'EmbedPress', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Microdata for Google Shopping', 'PHP', 'Theme In WP', 'UTF-8', 'WP Engine', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'Zoho Books', 'eClinicalWorks', 'eLand', 'jQuery', 'reCAPTCHA']"
fiscalbiz.com,"Accountant | Fiscal Business Services, LLC | United States","Fiscal Business Services, LLC",,77,103741,2026-02-06T11:54:30.015426393Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'QuickBooks Online', 'SMC', 'Sentry', 'SiteW', 'Subversion', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'WordPress Related Posts', 'Zoho Books', 'eLand', 'mlcom']"
eaglebst.com,3D Home page - EAGLE BUSINESS TECHNOLOGY,EAGLE BUSINESS TECHNOLOGY,USA,60,8236,2026-02-01T11:02:32.380783987Z,"['Alternate Protocol', 'Astra Theme', 'Cloudflare', 'Cloudflare CDN', 'Complianz', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Fireblade', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Header, Footer and Blocks for Elementor', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'QUIC', 'Site Kit', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'Zoho Books', 'jQuery']"
vivilessons.com,Vivi's Low Brass Studio,,USA,60,21743,2026-02-01T08:43:48.875407543Z,"['Apache', 'Apture Linking Platform', 'ClickOn', 'Express', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Recommendations AI', 'Google Related Website Sites', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'SMC', 'Sapper', 'Schema Plugin', 'Subversion', 'UTF-8', 'University or College', 'Zoho Books']"
nvoyy.co.uk,NVOYY | NVOYY | Business IT Support Suffolk & Bury St Edmunds,,USA,77,56303,2026-01-23T17:07:54.90391969Z,"['Content Delivery Network', 'DAV', 'Fastly', 'Financial Services Guide', 'Gatsby JS', 'GitHub Hosting', 'Google Analytics', 'Google Tag Manager', 'Idaq', 'Netlify', 'SMC', 'Styled Components', 'TeamViewer', 'UTF-8', 'Zoho Books']"
uselexbe.com,GenAI-Powered eDiscovery Platform | Lexbe,Lexbe eDiscovery and Digital Forensics,USA,77,27314,2026-01-23T12:37:43.454617185Z,"['Alternate Protocol', 'Calendly', 'Cloudflare', 'Content Delivery Network', 'DAV', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Express', 'Fireblade', 'Flexbe', 'Font Awesome', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Matched Content', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Hello Elementor', 'LinkedIn Insights', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'QUIC', 'RM Education', 'Table Addons for Elementor', 'Theme In WP', 'To Top', 'Twitter Ads', 'UTF-8', 'WP Engine', 'WordPress', 'WordPress Multisite', 'YouTube', 'Zoho Books', 'Zoho SalesIQ', 'jQuery']"
movemate.com.ng,"MoveMate – Fast, Reliable Delivery in Nigeria",,NGA,52,10783,2026-01-23T09:01:50.641049088Z,"['Content Delivery Network', 'Contento', 'Fastly', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'OpenResty', 'QUIC', 'UTF-8', 'Zoho Books']"
customprintedpoolcover.com,Custom Printed Pool Cover | BBOYZ Printing,,USA,72,108141,2026-01-18T17:29:46.309850193Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Better Lead Generation Services', 'Content Delivery Network', 'DAV', 'DC74', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Customer Reviews', 'Google Related Website Sites', 'Instagram Follow Button', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'SiteW', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'Zoho Books', 'mlcom']"
xrworks.co.za,XR Works | The Future of Extended Reality,XR Works,,77,102828,2026-01-15T18:07:05.169421985Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'QUIC', 'SMC', 'SiteW', 'Sitelinks Search Box', 'Thank You', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'Zoho Books', 'mlcom']"
jclaw.ca,Home - jclaw,,CAN,55,1246,2026-01-12T22:38:57.551118139Z,"['Cisco/Arrowpoint Content Service Switch', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Nginx', 'POWr', 'Perl', 'Twitter Ads', 'UTF-8', 'Zoho Books', 'eLand', 'reCAPTCHA']"
alliedsystems.co.zw,Allied Systems (Pvt) Ltd,,ZWE,82,105057,2025-12-29T20:57:52.320902014Z,"['AJAX Libraries API', 'Adobe Creative Cloud WebFonts', 'Apture Linking Platform', 'Aruba', 'Contento', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'University or College', 'WordPress SEO Structured Data Schema Plugin', 'Zendesk Guide', 'Zoho Books', 'eLand', 'jQuery']"
ordemengenheiros.ao,OEA,,,60,35724,2025-12-28T08:19:38.331960155Z,"['Aruba', 'Contento', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'SiteW', 'Squarespace', 'Twitter Ads', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'Zoho Books', 'eLand']"
artisansecurityint.com,Artisan Security Integration for home and business security needs,,USA,77,804,2025-12-27T21:31:09.199398699Z,"['Amazon CloudFront', 'CloudFront', 'Duda', 'FormSubmit', 'GZIP Module', 'Microdata for Google Shopping', 'Nginx', 'Tailwind CSS', 'Thank You', 'UTF-8', 'Zoho Books']"
sahar.ph,Sahar Pharma | Cost effective superior level of products,Sahar International Trade Inc.,PHL,82,45968,2025-12-25T13:37:38.352578323Z,"['AWS WAF Challenge', 'Ajax Search Lite', 'Alternate Protocol', 'Anti-spam for WordPress', 'Astra Theme', 'CDN JS', 'CleanTalk Spam Protect', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Facebook Customer Chat SDK', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Header, Footer and Blocks for Elementor', 'K2F', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'QUIC', 'Sticky Header Effects for Elementor', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'WP Featherlight', 'WPForms', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooLentor', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'Zoho Books', 'jQuery']"
hepvr.com,Properties for Rent and Sale in Puerto Vallarta 🏖️,High End Puerto Vallarta,MEX,82,17742,2025-12-25T13:19:38.320810935Z,"['Adult Content', 'Alternate Protocol', 'Amazon WAF Blocked', 'Anti-spam for WordPress', 'CleanTalk Spam Protect', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Fireblade', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Hello Elementor', 'IcoMoon', 'Instagram Follow Button', 'Jeg Elementor Kit', 'LiteSpeed', 'Microdata for Google Shopping', 'MonsterInsights', 'NFOrce Internet', 'PHP', 'QUIC', 'Schema Plugin', 'Table Addons for Elementor', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'Zoho Books', 'jQuery']"
pinnacle-sys.com,Home - Pinnacle Systems,Pinnacle Systems,,67,3335,2025-12-24T20:52:38.318562301Z,"['Alternate Protocol', 'Apture Linking Platform', 'Colibri', 'Colibri Page Builder', 'Creative Mail by Constant Contact', 'Elementor', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'IcoMoon', 'Icons8', 'Instagram Follow Button', 'Jetpack', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Pico CSS', 'Pleroma', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'Zoho Books', 'jQuery', 'reCAPTCHA', 'shadcn ui']"
