domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
pirminamai.lt,Nauji butai ir komercinės patalpos Vilniuje. | Pirmi namai,,LTU,72,2604,2026-02-01T19:56:56.070188982Z,"['AI Log', 'Alternate Protocol', 'Content Delivery Network', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microdata for Google Shopping', 'OpenResty', 'Pexels', 'Unsplash', 'Zonomi', 'Zyro']"
25mail.st,25 Mail St.: Managed email hosting,,NZL,77,15878,2026-01-23T05:28:08.621448165Z,"['Apache', 'Apture Linking Platform', 'Chatlio', 'Debian', 'Drata', 'GZIP Module', 'Google Analytics', 'QUIC', 'UTF-8', 'Zonomi']"
kidzonomics.com,Kidzonomics,,GBR,67,39790,2026-01-21T12:36:23.41639244Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nomics', 'Nuxt.js', 'UTF-8', 'Zonomi', 'shadcn ui']"
legaldocs.co.in,"FSSAI, GST, MSME, Trademark Registration & License Consultant - LegalDocs",,IND,77,20518,2026-01-19T16:58:43.435077815Z,"['Alternate Protocol', 'DAV', 'DoubleClick Bid Manager', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Google Analytics', 'Google Flights Conversion Tracking', 'Google My Business', 'Google Play', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'Ntent', 'PWA', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Ubuntu', 'Vector Internet Services', 'WhatsApp Sharing', 'YouTube', 'Zonomi', 'jQuery']"
bcdeives.lt,Merginų krepšinio klubas BC „Deivės”,BC Deives,LTU,92,2209,2026-01-19T14:47:43.208974367Z,"['Agoda', 'Alternate Protocol', 'Content Delivery Network', 'DAV', 'Divi', 'Elegant Themes', 'EmbedPress', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'QUIC.cloud', 'Tailwind CSS', 'UTF-8', 'WordPress', 'WordPress Multisite', 'Zonomi', 'eLand', 'reCAPTCHA']"
bakop.com,Bakop - better offsite backups,,GBR,77,15978,2026-01-18T06:24:12.577503784Z,"['Apache', 'Apture Linking Platform', 'Chatlio', 'Debian', 'Drata', 'GZIP Module', 'Google Analytics', 'UPS', 'UTF-8', 'Unix', 'Zonomi']"
resort101.lt,Pagrindinis ll RESORT 101,,,67,2520,2026-01-15T04:04:43.432565329Z,"['Alternate Protocol', 'Content Delivery Network', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Microdata for Google Shopping', 'OpenResty', 'Pexels', 'YouTube', 'Zonomi', 'Zyro']"
launchtimevps.com,RimuHosting - Linux/Xen VPS Hosting | Tomcat JSP Hosting | JBoss J2EE Hosting - LaunchtimeVPS,,NZL,77,21178,2026-01-14T19:49:43.435635694Z,"['Apache', 'Apture Linking Platform', 'Chatlio', 'Debian', 'Drata', 'GZIP Module', 'Google Analytics', 'Internap', 'OpenSSL', 'Parallels Plesk Panel', 'Perl', 'Zonomi', 'mod_perl']"
allsyte.biz,White Ace Stamp Albums & Supplements – Allen's Online Store,,VAT,72,74040,2026-01-14T11:16:43.448292128Z,"['Alternate Protocol', 'Express', 'Financial Services Guide', 'GZIP Module', 'Google Related Website Sites', 'Microdata for Google Shopping', 'Microsoft Azure', 'Nexternal', 'No-Q', 'SMC', 'Schema Plugin', 'TrueCommerce', 'UTF-8', 'Visual Studio', 'Zonomi', 'eLand']"
teaxiom.com,TeAxiom Inc,,USA,60,73316,2026-01-13T21:38:24.859386172Z,"['AAPT', 'Alternate Protocol', 'Apache', 'Apyl', 'Bold Themes', 'CCSI', 'DAV', 'Ektron', 'EmbedPress', 'Financial Services Guide', 'GZIP Module', 'Gambling Content', 'Google Cloud DNS', 'Google Font API', 'HHVM', 'HMDG', 'IPFS', 'IcoMoon', 'Idaq', 'K2F', 'KVH', 'M247', 'Nationwide Mortgage Licensing System and Registry', 'No-Q', 'O2MC Dimml', 'Onyx Internet', 'PHP', 'Phew', 'QUIC', 'SMC', 'Silicon Valley Web Hosting', 'Subversion', 'Theme In WP', 'UTF-8', 'Unix', 'Visx', 'WordPress', 'WordPress Multisite', 'Zonomi', 'Zope', 'jQuery']"
kampas.lt,Nekilnojamas turtas – skelbimai | Kampas.lt,,LTU,72,25558,2026-01-12T12:40:32.808189395Z,"['Amazon WAF Blocked', 'Apyl', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'DoubleClick Bid Manager', 'Ektron', 'GitHub Hosting', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Microdata for Google Shopping', 'Nuxt.js', 'Schema Plugin', 'UTF-8', 'Zonomi']"
